date,prcp(mm/day),tmean(C),srad(W/m2),vp(Pa),GW(feet)
1/9/1980,0,28.38,396.63,2130.99,7.4
2/9/1980,0,29,406.22,2130.06,7.48
3/9/1980,0,28.475,387.01,2191.67,7.49
4/9/1980,11.77,26.06,280.94,2227.97,7.12
5/9/1980,0,25.975,352.46,2182.68,7.25
6/9/1980,18.6,25.585,289.38,2125.27,7.26
7/9/1980,0,25.885,353.79,2244.46,7.36
8/9/1980,0,22.995,419.8,1638.33,7.5
9/9/1980,0,22.165,444.98,1444.11,7.59
10/9/1980,0,23.165,338.39,1987.43,7.61
11/9/1980,0,20.455,411.37,1447.62,7.68
12/9/1980,0,20.75,451.56,1286.29,7.74
13/9/1980,0,22.05,459.91,1318.83,7.78
14/9/1980,0,25.04,380.96,1970.09,7.8
15/9/1980,0,25.905,332.61,2288.63,7.84
16/9/1980,0,23.87,294.28,2168.73,7.9
17/9/1980,0,24.935,281.79,2322.36,7.93
18/9/1980,4.92,26.665,197.17,2631.95,7.97
19/9/1980,0,24.6,291.29,2270.91,8.01
20/9/1980,0,24.24,310.43,2145.4,8.05
21/9/1980,0,24.65,320.69,2156.07,8.08
22/9/1980,0,27.23,318.82,2479.68,8.11
23/9/1980,0,29,300.34,2800,8.14
24/9/1980,0,25.925,354.18,2160.16,8.19
25/9/1980,2.01,23.685,253.82,2243.53,7.95
26/9/1980,2.56,24.38,207.28,2320,7.75
27/9/1980,0,18.215,422.19,1162.56,7.86
28/9/1980,0,13.685,392.86,973.54,7.94
29/9/1980,0,16.745,310.18,1365.97,7.97
30/9/1980,13.65,18.92,168,1749.62,7.77
1/10/1980,24.51,19.095,73.41,2030.76,6.6
2/10/1980,6.29,19.975,147.93,1916.48,5.74
3/10/1980,0,18.955,310.49,1592.95,5.65
4/10/1980,3.55,14.44,265.7,1196.72,5.38
5/10/1980,0,14.07,360.71,1082.17,5.51
6/10/1980,2.7,13.68,261.26,1132.26,5.64
7/10/1980,0,11.29,425.43,739.93,5.71
8/10/1980,0,14.67,416.93,924.2,5.8
9/10/1980,0,18.405,394.22,1235.22,5.91
10/10/1980,0,19.97,383.55,1341.4,6.01
11/10/1980,0,21.065,342.91,1617.66,6.06
12/10/1980,4.74,17.085,299.11,1107.54,6.23
13/10/1980,0,10.93,404.98,718.89,6.34
14/10/1980,0,9.62,401.41,660.81,6.41
15/10/1980,0,12.515,400.67,783.95,6.47
16/10/1980,0,15.82,392.37,960.41,6.56
17/10/1980,0,18.275,371.54,1170.4,6.6
18/10/1980,0,20.39,310.84,1588.55,6.61
19/10/1980,25.23,19.715,175.81,1741.83,6.58
20/10/1980,18.02,14.625,194.61,1226.2,6.63
21/10/1980,0,12.625,351.85,880.3,6.74
22/10/1980,0,13.98,349.25,933.48,6.8
23/10/1980,0,13.965,297.87,1075.71,6.88
24/10/1980,0,11.575,205.23,1071.18,6.82
25/10/1980,52.15,13.14,142.27,1215.07,5.99
26/10/1980,0,8.82,313.23,720,5.83
27/10/1980,0,7.735,339.9,622.44,5.92
28/10/1980,0,12.14,296.41,926.55,5.92
29/10/1980,0.01,13.965,259.44,1137.86,6.07
30/10/1980,11.05,8.355,130.33,896.96,5.9
31/10/1980,2.57,6.7,250.4,637.04,5.32
1/11/1980,0,10.83,325.52,752.54,5.34
2/11/1980,0,9.18,309.96,712.43,5.47
3/11/1980,0,6.665,329.95,549.04,5.5
4/11/1980,0,11.245,285.96,838.55,5.37
5/11/1980,8.46,11.805,178,960.33,4.9
6/11/1980,0,8.485,279.65,707.31,4.9
7/11/1980,0,10.265,302.42,738.23,4.93
8/11/1980,0,15.935,274.53,1166.67,4.99
9/11/1980,0,16.81,281.87,1198.23,5.03
10/11/1980,0,17.02,246.03,1322.35,5.14
11/11/1980,0,9.42,325.06,600,5.27
12/11/1980,0,5.93,279.1,576.81,5.33
13/11/1980,0,6.655,307.99,544.03,5.39
14/11/1980,0,10.9,313.87,684.81,5.42
15/11/1980,1.9,13.82,233.27,1098.68,5.42
16/11/1980,1,10.76,243.01,881.43,5.48
17/11/1980,0,5.96,238.58,636.75,5.46
18/11/1980,16.45,6.84,159.53,716.82,5.48
19/11/1980,0,3.43,261.07,488.95,5.64
20/11/1980,0,2.135,287.53,410.21,5.68
21/11/1980,8.35,4.62,194.64,542.07,5.15
22/11/1980,0,4.285,286.15,480,4.6
23/11/1980,0,5.335,279.1,520,4.6
24/11/1980,2.12,10.345,207.25,881.32,4.58
25/11/1980,10.49,11.725,154.05,967.12,4.56
26/11/1980,0,4.335,261.88,502.4,4.51
27/11/1980,0,6.17,232.3,620.64,4.42
28/11/1980,3,9.275,148.81,829.19,4.43
29/11/1980,0,5.2,196.53,633.45,4.5
30/11/1980,0,5.945,224.45,614.55,4.6
1/12/1980,0,8.675,259.86,655.7,4.63
2/12/1980,0,10.685,278.51,693.63,4.63
3/12/1980,0,10.145,265.53,716.98,4.76
4/12/1980,0,3.06,240.24,473.51,4.79
5/12/1980,0,2.595,237.65,455.07,4.8
6/12/1980,0,6.11,220.48,619.68,4.85
7/12/1980,0,10.38,261.23,720,4.9
8/12/1980,0,13.335,264.01,842.25,4.94
9/12/1980,0,16.07,228.75,1171.05,4.97
10/12/1980,16.2,14.125,172.54,1019.68,4.85
11/12/1980,7.51,5.515,201.11,574.72,4.46
12/12/1980,0,3.395,244.56,475.05,4.48
13/12/1980,0,7.25,235.81,632.27,4.52
14/12/1980,0,5.825,265.8,520,4.62
15/12/1980,0,4.165,247.14,483.09,4.61
16/12/1980,1,5.305,162.23,666.1,4.59
17/12/1980,3.19,3.185,117.48,589.67,4.6
18/12/1980,0,2.12,258.88,400,4.6
19/12/1980,0,8.115,237.03,658.42,4.64
20/12/1980,0,4.03,266.12,440,4.75
21/12/1980,0,-5.195,202.56,280,4.77
22/12/1980,0,-3.96,233.54,280,4.75
23/12/1980,11.06,0.36,128.49,458.85,4.64
24/12/1980,3.59,3.305,118.97,597.11,4.48
25/12/1980,0,-0.05,273.43,320,4.6
26/12/1980,0,-7.915,228.07,203.3,4.6
27/12/1980,0,-3.305,194.56,332.21,4.51
28/12/1980,4.05,3.04,138.29,549.89,3.52
29/12/1980,4.19,6.71,92.11,803.73,3.04
30/12/1980,0,5.64,144.93,720,2.98
31/12/1980,2.1,6.18,118.52,761.87,3.06
1/1/1981,0,3.32,177.11,586.1,3.12
2/1/1981,0,3.97,194.31,600,3.22
3/1/1981,0,0.465,264.87,364.53,3.26
4/1/1981,0,-0.195,247.99,377.88,3.35
5/1/1981,0,-6.67,240.67,240,3.43
6/1/1981,0,-3.545,280.99,280,3.44
7/1/1981,4.36,2.965,160.72,532.35,3.46
8/1/1981,0,-1.025,260.81,358.94,3.53
9/1/1981,0,-4.265,244.21,280,3.56
10/1/1981,0,-2.62,191.44,360,3.63
11/1/1981,0,-6.69,264.94,235.52,3.67
