date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm),GW(feet)
1/2/1987,0,4.075,0.428,338.01,480,2.42445725,2.11
2/2/1987,0,9.235,0.431809144,277.45,802.79,2.075695418,2.16
3/2/1987,0,11.76,0.432,267.22,975.13,1.710058014,2.31
4/2/1987,0,8.995,0.432,340.25,680,1.451299236,2.46
5/2/1987,0,6.225,0.432068056,301.51,640,1.282543511,2.57
6/2/1987,0,5.885,0.435999769,359.23,522.38,1.136288549,2.62
7/2/1987,10.46,9.255,0.435999769,237.82,761.93,1.08003664,2.55
8/2/1987,0,7.065,0.435999769,376.47,532.1,1.153164121,2.57
9/2/1987,0,5.6,0.44,377.86,480,1.203790839,2.77
10/2/1987,0,3.68,0.44,355.04,468.71,1.186915266,2.86
11/2/1987,0,4.75,0.44,380.9,440,1.096912213,2.93
12/2/1987,0,9.21,0.444,383.96,600.09,1.001283969,2.98
13/2/1987,0,9.01,0.444,390.84,600,0.916906106,3.11
14/2/1987,0,7.945,0.444,387.75,560,0.838153435,3.16
15/2/1987,0,8.59,0.448,322.8,724.95,0.770651144,3.25
16/2/1987,3.34,1.52,0.448,219.26,520,0.731274809,3.23
17/2/1987,26.32,1.36,0.44806794,93.04,588.42,1.192540457,2.37
18/2/1987,4.86,1.29,0.451999884,108.42,568.48,1.760684732,2.24
19/2/1987,0,2.455,0.451999884,298.84,520,2.013818319,2.37
20/2/1987,0,3.545,0.455809028,359.75,480,2.103821373,2.49
21/2/1987,0,4.675,0.455999884,297.25,600,2.041944273,2.58
22/2/1987,1.91,4.555,0.455999884,273.37,600,1.861938167,2.6
23/2/1987,10.52,7.44,0.460000116,270.71,640,1.766309922,2.41
24/2/1987,0,5.585,0.460000116,377.05,560,1.771935113,2.56
25/2/1987,0,5.865,0.460000116,308.72,640,1.788810686,2.67
26/2/1987,0,4.565,0.464,343.34,560,1.743809159,2.78
27/2/1987,16.72,4.74,0.464,201.8,640,1.653806106,2.56
28/2/1987,26.32,7.34,0.464067824,211.31,751.28,2.126322136,1.49
1/3/1987,39.28,15.405,0.467999769,228.6,1263.7,4.44390076,0.64
2/3/1987,4.74,13.16,0.467999769,301.59,920,8.21277862,0.95
3/3/1987,0,9.72,0.472,447.32,600,10.18159541,1.23
4/3/1987,0,10.085,0.472,398.3,744.48,9.337816787,1.51
5/3/1987,0,4.465,0.472,393.89,520,6.412717553,1.73
6/3/1987,0,5.795,0.476000116,423.07,520.1,4.533903814,1.89
7/3/1987,0,9.04,0.476000116,459.64,566.21,3.521369463,2.01
8/3/1987,0,14.035,0.48,383.34,1013.6,2.722592364,2.07
9/3/1987,4.65,16.06,0.48,213.31,1360.86,2.238825953,2.12
10/3/1987,4.4,9.24,0.48,337.36,633.57,1.912564884,2.33
11/3/1987,0,1.745,0.483999884,237.27,559.13,1.665056487,2.44
12/3/1987,3.03,3.99,0.483999884,182.61,640,1.507551144,2.5
13/3/1987,0,5.53,0.483999884,396.56,600,1.395047327,2.6
