# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-02-08 06:31:13 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 345809077301408 JO-035 (NC-173), NCDENR COMFORT RS (SURFICIAL)
# -----------------------------------------------------------------------------------
#
# Data provided for site 345809077301408
#            TS   parameter     statistic     Description
#         88387       72019     00003     Depth to water level, feet below land surface (Mean)
#            00       72019     00011     Depth to water level, feet below land surface (Instantaneous)
#            00       62610     00011     Groundwater level above NGVD 1929, feet (Instantaneous)
#            00       62611     00011     Groundwater level above NAVD 1988, feet (Instantaneous)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
# Discrete groundwater status codes included in this output:
#  '00_62610_00011_cd'
#  '00_62611_00011_cd'
#  '00_72019_00011_cd'
#
#     1          Not determined
#     P          Site was being pumped.
#
#     A          Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	88387_72019_00003	88387_72019_00003_cd	00_72019_00011	00_72019_00011_cd	00_62610_00011	00_62610_00011_cd	00_62611_00011	00_62611_00011_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	345809077301408	1986-09-04				3.95	1:A				
USGS	345809077301408	1986-09-05									
USGS	345809077301408	1986-09-06									
USGS	345809077301408	1986-09-07									
USGS	345809077301408	1986-09-08									
USGS	345809077301408	1986-09-09									
USGS	345809077301408	1986-09-10									
USGS	345809077301408	1986-09-11									
USGS	345809077301408	1986-09-12									
USGS	345809077301408	1986-09-13									
USGS	345809077301408	1986-09-14									
USGS	345809077301408	1986-09-15									
USGS	345809077301408	1986-09-16									
USGS	345809077301408	1986-09-17									
USGS	345809077301408	1986-09-18									
USGS	345809077301408	1986-09-19									
USGS	345809077301408	1986-09-20									
USGS	345809077301408	1986-09-21									
USGS	345809077301408	1986-09-22									
USGS	345809077301408	1986-09-23									
USGS	345809077301408	1986-09-24									
USGS	345809077301408	1986-09-25									
USGS	345809077301408	1986-09-26									
USGS	345809077301408	1986-09-27									
USGS	345809077301408	1986-09-28									
USGS	345809077301408	1986-09-29									
USGS	345809077301408	1986-09-30									
USGS	345809077301408	1986-10-01									
USGS	345809077301408	1986-10-02									
USGS	345809077301408	1986-10-03									
USGS	345809077301408	1986-10-04									
USGS	345809077301408	1986-10-05									
USGS	345809077301408	1986-10-06									
USGS	345809077301408	1986-10-07									
USGS	345809077301408	1986-10-08									
USGS	345809077301408	1986-10-09									
USGS	345809077301408	1986-10-10									
USGS	345809077301408	1986-10-11									
USGS	345809077301408	1986-10-12									
USGS	345809077301408	1986-10-13									
USGS	345809077301408	1986-10-14									
USGS	345809077301408	1986-10-15									
