date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm),GW(mm),GW(feet)
1/9/1980,11.69,26.655,0.520000116,302.27,2529.82,0.021559667,8.704268293,26.56
2/9/1980,21.62,25.75,0.520000116,302.57,2400.75,0.025152944,8.75,26.52
3/9/1980,21.39,26.18,0.520000116,277.71,2560,0.057492445,8.75,26.48
4/9/1980,8.1,26.25,0.517349884,280.55,2560,0.138341195,8.795731707,26.33
5/9/1980,3.77,27.85,0.516,260.86,2862.27,0.0970185,8.155487805,26.22
6/9/1980,0,27.26,0.516,393.34,2643.33,0.068272278,7.942073171,26.59
7/9/1980,0,27.25,0.516,415.91,2560,0.068272278,7.088414634,26.59
8/9/1980,0,27.015,0.512,405.53,2560,0.08084875,6.966463415,26.33
9/9/1980,3.27,26.685,0.512,327.71,2539.17,0.064679,6.966463415,26.24
10/9/1980,0,26.25,0.512,394.73,2480,0.046712611,6.99695122,26.11
11/9/1980,12.31,25.55,0.508000116,309.14,2320,0.059289083,7.179878049,26
12/9/1980,0,25.72,0.508000116,417.22,2320,0.050305889,7.179878049,25.9
13/9/1980,1.1,26,0.508000116,403.12,2400,0.044915972,7.362804878,25.79
14/9/1980,12.71,26.16,0.508000116,304.95,2401.02,0.0323395,7.164634146,25.69
15/9/1980,9.72,26.455,0.504000116,276.73,2560,0.034136139,7.240853659,25.54
16/9/1980,3.41,26.5,0.504000116,296.38,2480,0.028746222,7.317073171,25.44
17/9/1980,0,27.5,0.504000116,388.23,2640,0.021559667,7.317073171,25.41
18/9/1980,0,27.5,0.5,386.11,2640.41,0.015451094,7.393292683,25.38
19/9/1980,0,26.915,0.5,404.97,2485.64,0.010240842,7.545731707,25.35
20/9/1980,0,27.765,0.5,344.56,2801.48,0.0064679,7.545731707,25.12
21/9/1980,0,27.48,0.5,361.66,2712.22,0.002874622,7.545731707,25.44
22/9/1980,0,27.335,0.495999884,377.64,2640,0,7.62195122,25.44
23/9/1980,0,27.18,0.495999884,369.42,2640,0,7.774390244,25.42
24/9/1980,0,26.35,0.495999884,394.93,2432.3,0,7.850609756,25.43
25/9/1980,0,27.48,0.491999537,379.9,2640,0,7.926829268,26.08
26/9/1980,0,27.515,0.491999537,400.02,2564.13,0.005030589,8.00304878,26.69
27/9/1980,0,27.335,0.491999537,391.66,2565.89,0.005749244,8.155487805,26.72
28/9/1980,0,27.435,0.491999537,384.44,2598.59,0.001077983,8.231707317,26.6
