# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-02-08 06:35:27 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 272655080401601 STL-  42
# -----------------------------------------------------------------------------------
#
# Data provided for site 272655080401601
#            TS   parameter     statistic     Description
#         28838       62610     00001     Groundwater level above NGVD 1929, feet (Maximum)
#            00       72019     00011     Depth to water level, feet below land surface (Instantaneous)
#            00       62610     00011     Groundwater level above NGVD 1929, feet (Instantaneous)
#            00       62611     00011     Groundwater level above NAVD 1988, feet (Instantaneous)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
# Discrete groundwater status codes included in this output:
#  '00_62610_00011_cd'
#  '00_62611_00011_cd'
#  '00_72019_00011_cd'
#
#     1          Not determined
#
#     A          Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	28838_62610_00001	28838_62610_00001_cd	00_62610_00011	00_62610_00011_cd	00_72019_00011	00_72019_00011_cd	00_62611_00011	00_62611_00011_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	272655080401601	1980-01-29 15:10	UTC					1.76	1:A		
USGS	272655080401601	1980-01-30									
USGS	272655080401601	1980-01-31									
USGS	272655080401601	1980-02-01									
USGS	272655080401601	1980-02-02									
USGS	272655080401601	1980-02-03									
USGS	272655080401601	1980-02-04									
USGS	272655080401601	1980-02-05									
USGS	272655080401601	1980-02-06									
USGS	272655080401601	1980-02-07									
USGS	272655080401601	1980-02-08									
USGS	272655080401601	1980-02-09									
USGS	272655080401601	1980-02-10									
USGS	272655080401601	1980-02-11									
USGS	272655080401601	1980-02-12									
USGS	272655080401601	1980-02-13									
USGS	272655080401601	1980-02-14									
USGS	272655080401601	1980-02-15									
USGS	272655080401601	1980-02-16									
USGS	272655080401601	1980-02-17									
USGS	272655080401601	1980-02-18									
USGS	272655080401601	1980-02-19									
USGS	272655080401601	1980-02-20									
USGS	272655080401601	1980-02-21									
USGS	272655080401601	1980-02-22									
USGS	272655080401601	1980-02-23									
USGS	272655080401601	1980-02-24									
USGS	272655080401601	1980-02-25									
USGS	272655080401601	1980-02-26									
USGS	272655080401601	1980-02-27 15:30	UTC					2.07	1:A		
USGS	272655080401601	1980-02-28									
USGS	272655080401601	1980-02-29									
USGS	272655080401601	1980-03-01									
USGS	272655080401601	1980-03-02									
USGS	272655080401601	1980-03-03									
USGS	272655080401601	1980-03-04									
USGS	272655080401601	1980-03-05									
USGS	272655080401601	1980-03-06									
USGS	272655080401601	1980-03-07									
USGS	272655080401601	1980-03-08									
USGS	272655080401601	1980-03-09									
USGS	272655080401601	1980-03-10									
USGS	272655080401601	1980-03-11									
USGS	272655080401601	1980-03-12									
USGS	272655080401601	1980-03-13									
USGS	272655080401601	1980-03-14									
USGS	272655080401601	1980-03-15									
USGS	272655080401601	1980-03-16									
USGS	272655080401601	1980-03-17									
USGS	272655080401601	1980-03-18									
USGS	272655080401601	1980-03-19									
USGS	272655080401601	1980-03-20									
USGS	272655080401601	1980-03-21									
USGS	272655080401601	1980-03-22									
USGS	272655080401601	1980-03-23									
USGS	272655080401601	1980-03-24									
USGS	272655080401601	1980-03-25									
USGS	272655080401601	1980-03-26									
USGS	272655080401601	1980-03-27 15:00	UTC					2.71	1:A		
USGS	272655080401601	1980-03-28									
USGS	272655080401601	1980-03-29									
USGS	272655080401601	1980-03-30									
USGS	272655080401601	1980-03-31									
USGS	272655080401601	1980-04-01									
USGS	272655080401601	1980-04-02									
USGS	272655080401601	1980-04-03									
USGS	272655080401601	1980-04-04									
USGS	272655080401601	1980-04-05									
USGS	272655080401601	1980-04-06									
USGS	272655080401601	1980-04-07									
USGS	272655080401601	1980-04-08									
USGS	272655080401601	1980-04-09									
USGS	272655080401601	1980-04-10									
USGS	272655080401601	1980-04-11									
USGS	272655080401601	1980-04-12									
USGS	272655080401601	1980-04-13									
USGS	272655080401601	1980-04-14									
USGS	272655080401601	1980-04-15									
USGS	272655080401601	1980-04-16									
USGS	272655080401601	1980-04-17									
USGS	272655080401601	1980-04-18									
USGS	272655080401601	1980-04-19									
USGS	272655080401601	1980-04-20									
USGS	272655080401601	1980-04-21									
USGS	272655080401601	1980-04-22									
USGS	272655080401601	1980-04-23									
USGS	272655080401601	1980-04-24									
USGS	272655080401601	1980-04-25									
USGS	272655080401601	1980-04-26									
USGS	272655080401601	1980-04-27									
USGS	272655080401601	1980-04-28									
USGS	272655080401601	1980-04-29 14:20	UTC					2.49	1:A		
USGS	272655080401601	1980-04-30									
USGS	272655080401601	1980-05-01									
USGS	272655080401601	1980-05-02									
USGS	272655080401601	1980-05-03									
USGS	272655080401601	1980-05-04									
USGS	272655080401601	1980-05-05									
USGS	272655080401601	1980-05-06									
USGS	272655080401601	1980-05-07									
USGS	272655080401601	1980-05-08									
USGS	272655080401601	1980-05-09									
USGS	272655080401601	1980-05-10									
USGS	272655080401601	1980-05-11									
USGS	272655080401601	1980-05-12									
