date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm),GW(Feet)
1/9/1980,9.82,26.56,0.520000116,310.64,2418.74,0.148914143,46.1
2/9/1980,24.34,26.18,0.520000116,307.28,2380.77,0.197597613,46.2
3/9/1980,21.13,25.845,0.520000116,271.35,2480,0.584201637,46.22
4/9/1980,2.27,26.515,0.516750694,356.42,2516.7,1.781242247,46.33
5/9/1980,0,27.68,0.515999884,370.74,2720,1.838516917,46.4
6/9/1980,0.18,27.6,0.515999884,400.15,2595.11,1.340227286,46.45
7/9/1980,0,27.24,0.515999884,421.86,2476.78,1.005170464,46.58
8/9/1980,0,27.34,0.512000116,411.54,2526.28,0.770344316,46.64
9/9/1980,0,27.025,0.512000116,409.58,2488.39,0.609975239,46.62
10/9/1980,0,26.31,0.512000116,399.39,2419.33,0.486834698,46.67
11/9/1980,0,25.38,0.507999653,422.78,2241.66,0.395195225,46.76
12/9/1980,1.36,25.79,0.507999653,422.92,2282.82,0.323601887,46.78
13/9/1980,0,26.335,0.507999653,410.55,2355.86,0.286373352,46.74
14/9/1980,2.86,26.42,0.507999653,342.75,2373.68,0.343648022,46.71
15/9/1980,2.91,26.76,0.504000116,328.36,2478.49,0.355102956,46.79
16/9/1980,2.32,26.88,0.504000116,325.61,2478.33,0.31787442,46.83
17/9/1980,6.2,27.385,0.504000116,282.65,2603.5,0.280645885,46.83
18/9/1980,2.33,27.7,0.500000347,332.67,2624.42,0.269190951,46.85
19/9/1980,0,26.8,0.500000347,422.23,2336.75,0.349375489,46.85
20/9/1980,0,27.75,0.500000347,376.39,2640,0.398058959,46.85
21/9/1980,0,27.485,0.500000347,389.48,2555.32,0.398058959,46.85
22/9/1980,0,27.45,0.496000231,390.02,2544.09,0.332193088,46.86
23/9/1980,0,27.48,0.496000231,386.32,2554.26,0.263463484,46.88
24/9/1980,0,27.035,0.496000231,403.13,2418.51,0.214780014,46.84
25/9/1980,0,27.56,0.492,383.59,2562.75,0.177551478,46.32
26/9/1980,0,27.97,0.492,395.45,2567.09,0.146050409,45.86
27/9/1980,0,27.83,0.492,393.5,2546.76,0.114549341,45.86
28/9/1980,0,27.645,0.492,390.51,2525.66,0.094503206,45.98
29/9/1980,0,27.46,0.487999884,395.9,2467.68,0.083048272,46.01
30/9/1980,0,27.35,0.487999884,404.68,2402.66,0.071593338,46.05
1/10/1980,11.68,27.23,0.487999884,299.07,2555.59,0.065865871,46.02
2/10/1980,9.31,26.615,0.483999653,246.82,2575.71,0.074457071,45.4
3/10/1980,6.06,25.43,0.483999653,256.37,2438.07,0.080184538,45.18
4/10/1980,4.65,23.175,0.483999653,316.52,2084.76,0.091639473,45.31
5/10/1980,0,23.09,0.483248727,408.68,1866.11,0.09736694,45.37
6/10/1980,0,22.2,0.480000116,444.43,1640.27,0.091639473,45.56
7/10/1980,0,23.715,0.480000116,383.35,2006.33,0.085912005,45.67
8/10/1980,0,23.68,0.480000116,365.45,2064.26,0.080184538,45.84
9/10/1980,0,24.28,0.475999884,359.12,2129.31,0.071593338,45.84
10/10/1980,0,25.135,0.475999884,346.57,2284.86,0.063002137,45.99
11/10/1980,0,24.735,0.475999884,374.91,2126.76,0.054410937,46.02
12/10/1980,0,22.845,0.475672917,436.53,1673,0.04868347,46.01
13/10/1980,0,20.79,0.471999884,463.75,1356.42,0.042956003,45.58
14/10/1980,0,22.13,0.471999884,423.9,1620.8,0.037228536,45.25
15/10/1980,0,23.505,0.471999884,384.19,1889.69,0.034364802,45.04
16/10/1980,0,24.65,0.468336574,359.95,2103.27,0.031501069,45.06
17/10/1980,0,25.3,0.468000347,348.41,2215.35,0.028637335,44.94
18/10/1980,0,25.705,0.468000347,361.69,2200.7,0.028064588,44.7
19/10/1980,0,26.08,0.468000347,348.93,2287.12,0.026059975,44.13
20/10/1980,0,25.01,0.463999653,369.09,2081.5,0.023768988,43.52
21/10/1980,0,25.435,0.463999653,354.6,2160.14,0.022909868,43.2
22/10/1980,0,24.42,0.463999653,339.11,2099.09,0.022050748,43.3
23/10/1980,1.36,24.98,0.463989699,307.77,2276.82,0.022337121,43.29
24/10/1980,0,24.39,0.460000347,351.5,2042.55,0.022909868,42.98
25/10/1980,0,23.845,0.460000347,325.64,2070.32,0.023196241,42.24
26/10/1980,0,17.88,0.460000347,441.65,1086.27,0.022623495,41.82
27/10/1980,0,19.825,0.45967338,413.3,1329.7,0.021764375,41.79
28/10/1980,0,25.01,0.456,332.8,2119.08,0.021478001,41.87
29/10/1980,0,25.255,0.456,331.07,2147.28,0.021191628,41.82
30/10/1980,23.8,26.79,0.456,232.56,2413.07,0.022623495,41.66
31/10/1980,0,25.445,0.455990046,281.81,2332.78,0.031501069,41.44
1/11/1980,0,21.6,0.451999769,260.86,1919.28,0.037228536,41.18
2/11/1980,0,21.285,0.451999769,314.45,1749.72,0.031501069,40.39
3/11/1980,0,22.585,0.451999769,326.13,1829.86,0.028637335,39.98
4/11/1980,0,23.09,0.451999769,275.3,2066.9,0.025773602,39.49
5/11/1980,0,22.39,0.448336343,274.99,1967.7,0.024914482,39.41
6/11/1980,0,16.325,0.448000347,408.79,1010.82,0.025200855,38.99
7/11/1980,0,16.98,0.448000347,405,1053.61,0.024914482,38.57
8/11/1980,0,20.345,0.448000347,361.34,1439.39,0.024628108,37.99
9/11/1980,0,23.31,0.447249421,286.83,1999.1,0.024628108,37.08
10/11/1980,0.61,24.25,0.444000231,208.1,2353.98,0.024628108,36.62
11/11/1980,1.03,22.315,0.444000231,166.73,2208.58,0.024055362,36.52
12/11/1980,0,20.04,0.444000231,257.49,1743.04,0.022909868,36.58
13/11/1980,0,19.695,0.444000231,336.35,1475.15,0.022909868,36.71
14/11/1980,0,20.89,0.443249306,325.26,1624.09,0.022623495,36.88
15/11/1980,14.82,23.91,0.440031829,183.05,2234.74,0.026346348,36.88
16/11/1980,7.41,24.225,0.439999884,168.77,2316.21,0.031501069,36.86
17/11/1980,14.83,24.59,0.439999884,162.35,2399.83,0.037228536,37.18
18/11/1980,7.04,23.1,0.439999884,148.82,2280.57,0.042956003,37.51
19/11/1980,0.79,16.355,0.439989931,334.38,1197.25,0.051547203,37.71
20/11/1980,0,14.475,0.437925116,302.52,1162.82,0.04868347,38.04
21/11/1980,0,14.15,0.436000116,331.41,1069.04,0.045819736,38.18
22/11/1980,0,15.065,0.436000116,367.26,1010.15,0.045819736,38.29
23/11/1980,0,19.97,0.436000116,331.82,1484.65,0.042956003,38.63
24/11/1980,3.51,23.22,0.436000116,161.81,2222.4,0.045819736,38.96
25/11/1980,0,21.96,0.436000116,278.43,1878.95,0.060138404,39.27
26/11/1980,0,21.275,0.43524919,319.67,1666.81,0.060138404,39.62
27/11/1980,9.3,22.13,0.433080787,182.83,2017.86,0.094503206,39.95
28/11/1980,17.74,16.515,0.431999884,208.79,1364.31,0.131731742,40.12
29/11/1980,2.43,11.075,0.431999884,277.45,907.6,0.226234948,40.43
30/11/1980,0,11.33,0.431999884,370.21,791.64,0.231962415,40.43
1/12/1980,0,16.13,0.431999884,341.32,1158.1,0.243417349,40.68
2/12/1980,0,18.43,0.431999884,342.09,1309.05,0.246281082,40.83
3/12/1980,0,18.47,0.431999884,331.46,1343.87,0.231962415,40.92
4/12/1980,0,17.67,0.431989931,331.1,1280.42,0.20332508,41.15
5/12/1980,0,18.21,0.431249074,317.32,1356.74,0.174687744,41.37
6/12/1980,0,16.995,0.429925116,339.15,1197.42,0.146050409,41.44
7/12/1980,0,17.755,0.428336227,332.17,1280,0.123140541,41.61
8/12/1980,0,19.26,0.427999884,321.63,1421.86,0.103094407,41.68
9/12/1980,0,19.53,0.427999884,324.38,1425.57,0.088775739,41.88
10/12/1980,0,19.06,0.427999884,347.68,1281.84,0.080184538,41.95
11/12/1980,0,19.755,0.427999884,272.13,1609.93,0.071593338,42.08
12/12/1980,0,14.485,0.427999884,327.34,1024.24,0.065865871,42.18
13/12/1980,0,15.445,0.427999884,342.18,1033.35,0.060138404,42.2
14/12/1980,0,15.24,0.427999884,349.23,981.32,0.054410937,42.19
15/12/1980,0,13.515,0.427999884,365.55,800,0.051547203,42.16
16/12/1980,3.15,14.85,0.427999884,275.79,943.38,0.04868347,42.06
17/12/1980,12.9,15.78,0.427999884,192.26,1273.35,0.05727467,42
18/12/1980,0,10.46,0.427999884,355.77,680.15,0.063002137,41.94
19/12/1980,0,13.52,0.427999884,340.05,887.59,0.065865871,42
20/12/1980,0,15.89,0.427999884,303.62,1142.37,0.065865871,41.65
21/12/1980,0,15.295,0.427999884,259.05,1215.63,0.068729604,41.47
22/12/1980,5.79,15.87,0.427999884,160.1,1358.99,0.071593338,41.7
23/12/1980,3.76,17.16,0.427999884,169.13,1438.99,0.083048272,41.89
24/12/1980,0,15.74,0.427999884,265.62,1243.66,0.088775739,42.01
25/12/1980,0.81,14.02,0.427999884,257.15,1133.07,0.083048272,41.98
26/12/1980,0,10.01,0.427999884,327.93,723.94,0.080184538,42.15
27/12/1980,0,12.13,0.427999884,284.91,922.56,0.077320805,42.25
28/12/1980,0,8.61,0.427999884,254.59,800,0.071593338,42.36
29/12/1980,0,7.285,0.427999884,273.33,698.06,0.065865871,42.41
30/12/1980,0,10.865,0.427999884,316.66,800,0.060138404,42.57
31/12/1980,0,9.075,0.427999884,294.99,749.03,0.05727467,42.69
1/1/1981,0,10.29,0.427999884,336.58,544.39,0.054410937,42.74
2/1/1981,0,11.235,0.428031829,311.13,653.14,0.051547203,42.9
3/1/1981,0,8.915,0.429080556,353.45,457.68,0.04868347,42.9
4/1/1981,0,10.71,0.430635764,357.46,497.74,0.045819736,42.69
5/1/1981,0,11.095,0.431673032,321.82,622.36,0.042956003,42.26
6/1/1981,0,12.16,0.431999884,317.99,672.6,0.042956003,42.17
7/1/1981,0,15.035,0.431999884,266.47,982.34,0.040092269,42.21
8/1/1981,0,12.955,0.431999884,287.18,808,0.040092269,42.14
9/1/1981,0,10.245,0.431999884,323.3,589.25,0.037228536,42.6
10/1/1981,0,9.61,0.431999884,330.15,552.28,0.037228536,41.68
11/1/1981,0,9.115,0.431999884,329.13,543.94,0.037228536,41.58
12/1/1981,0,6.065,0.432031829,319.39,475.79,0.034364802,41.22
13/1/1981,0,3.035,0.434636111,339.55,364.59,0.031501069,41.13
14/1/1981,0,5.26,0.435990162,387.54,313.57,0.031501069,41.06
15/1/1981,0,13.115,0.436000116,339.13,659.94,0.031501069,40.97
16/1/1981,0,16.49,0.436000116,319.43,872.45,0.034364802,40.92
17/1/1981,0,12.81,0.436000116,334.94,663.22,0.031501069,40.63
18/1/1981,0,5.525,0.436000116,356.95,395.73,0.031501069,39.84
19/1/1981,0,6.765,0.436336111,383.69,365.46,0.031501069,39.29
20/1/1981,0,9.685,0.439248958,378.69,452.02,0.031501069,38.06
21/1/1981,5.7,14.905,0.439999884,211.6,1053.96,0.034364802,37.96
22/1/1981,0,10.64,0.439999884,353.53,575.84,0.037228536,37.5
23/1/1981,0,9.995,0.439999884,320.24,642.99,0.037228536,37.43
24/1/1981,5.01,12.26,0.439999884,190.72,968.72,0.042956003,37.24
25/1/1981,0,10.605,0.441080556,344.99,627.35,0.042956003,36.26
26/1/1981,0,12.445,0.444000231,377.05,558.6,0.042956003,36.01
27/1/1981,0,13.24,0.444000231,391.18,541.77,0.040092269,35.39
28/1/1981,0,14.325,0.444000231,370.43,650.32,0.037228536,34.82
29/1/1981,0,13.6,0.444000231,378.84,602.72,0.034364802,34.83
30/1/1981,0,13.545,0.445081134,400.55,509.59,0.034364802,34.75
31/1/1981,0,15.405,0.448000347,378.61,611.49,0.031501069,34.63
1/2/1981,0,17.695,0.448000347,320.21,915.92,0.031501069,34.34
2/2/1981,14.79,18.89,0.448000347,215.54,1361.06,0.034364802,34.09
3/2/1981,8.88,11.13,0.448000347,308.24,697.58,0.051547203,34.09
4/2/1981,0,6.92,0.451248958,366.34,476.07,0.063002137,33.4
5/2/1981,0,9.445,0.451999769,380.27,506.46,0.065865871,32.96
6/2/1981,0,13.05,0.451999769,399.97,558.14,0.065865871,33.56
7/2/1981,0.82,18.16,0.451999769,332.77,961.93,0.063002137,34.12
8/2/1981,48.96,20.265,0.453925,166.94,1755.79,0.286373352,34.31
9/2/1981,27.8,15.745,0.456,256.06,1198.08,1.414684357,34.47
10/2/1981,0,19.215,0.456,324,1408.22,1.638055571,34.69
11/2/1981,6.44,21.73,0.456,215.25,1863.94,1.552143566,35.01
12/2/1981,1.53,14.905,0.456335995,376.78,881.03,1.357409687,35.46
13/2/1981,0,14.4,0.460000347,319.63,1090.49,1.231405412,35.6
14/2/1981,1.94,17.985,0.460000347,234.4,1493.46,1.111128604,35.99
15/2/1981,0.11,19.27,0.460000347,272.97,1604.79,1.005170464,36.73
16/2/1981,1.39,20.625,0.461080671,263.12,1760,0.899212324,37.52
17/2/1981,0,22,0.463999653,286.82,1875.82,0.793254184,37.74
18/2/1981,0,22.34,0.463999653,253.5,2028.49,0.693023511,38.06
19/2/1981,0,20.56,0.463999653,330.6,1624.04,0.609975239,38.44
20/2/1981,0,18.945,0.466636227,414.96,1210.2,0.538381901,38.84
21/2/1981,0,17.345,0.468000347,426.12,1073.28,0.466788563,39.18
22/2/1981,0,16,0.468000347,467.62,835.44,0.392331492,39.47
23/2/1981,0,17.305,0.468000347,422,1086.04,0.326465621,39.77
24/2/1981,0,13.275,0.471999884,461.35,748.46,0.277782151,40.07
25/2/1981,0,13.95,0.471999884,476.87,728.67,0.231962415,40.36
26/2/1981,0,15.91,0.471999884,449.19,923.92,0.191870146,40.63
27/2/1981,0,15.935,0.471999884,480.21,811.94,0.160369077,40.86
28/2/1981,0,17.08,0.475999884,478.95,874.37,0.134595475,40.99
1/3/1981,0,17.97,0.475999884,457.84,1018.8,0.111685607,41.16
2/3/1981,0,18.855,0.475999884,435.98,1162.87,0.094503206,41.25
3/3/1981,0,17.89,0.47924919,433.48,1080.05,0.083048272,41.44
4/3/1981,0,18.52,0.480000116,420.75,1156.61,0.074457071,41.44
5/3/1981,0.1,22.255,0.480000116,288.74,1929.85,0.068729604,41.51
6/3/1981,1.65,17.845,0.480000116,413.79,1053.44,0.063002137,41.54
7/3/1981,0,15.51,0.483999653,486.85,788.76,0.060138404,41.61
8/3/1981,0,18.22,0.483999653,420.22,1164.92,0.054410937,41.72
9/3/1981,0,20.46,0.483999653,371.49,1505.57,0.04868347,41.73
10/3/1981,0,19.67,0.487672917,383.1,1395.79,0.045819736,41.66
11/3/1981,0,17.14,0.487999884,444.14,1026.05,0.042956003,41.4
12/3/1981,0,15.89,0.487999884,425.62,1013.1,0.040092269,41.43
13/3/1981,0,17.295,0.487999884,362.1,1286.03,0.037228536,40.69
14/3/1981,0.03,16.88,0.492,368.3,1243.62,0.037228536,40.41
15/3/1981,0,16.72,0.492,495.6,847.67,0.034364802,40
16/3/1981,1.99,19.205,0.492,330.34,1377.45,0.034364802,40.08
17/3/1981,0,14.53,0.496000231,496.23,741.18,0.031501069,40
18/3/1981,0,18,0.496000231,425.37,1130.55,0.031501069,39.84
19/3/1981,7.17,19.08,0.496000231,265.49,1481.69,0.028637335,39.6
20/3/1981,0,12.355,0.496000231,437.98,805.91,0.026059975,38.99
21/3/1981,0,12.45,0.500000347,517.78,616.25,0.024055362,38.68
22/3/1981,4.87,16.085,0.500000347,402.56,1033.48,0.024055362,38.4
23/3/1981,16.42,17.935,0.500000347,247.95,1475.76,0.060138404,38.59
24/3/1981,0,13.11,0.504000116,418.75,914.88,0.094503206,38.54
25/3/1981,0,13.425,0.504000116,485.64,803.75,0.117413074,38.45
26/3/1981,0,17.16,0.504000116,439.68,1138.16,0.123140541,38.33
27/3/1981,0,18.49,0.504000116,471.1,1134.09,0.108821874,37.98
28/3/1981,0,19.745,0.507999653,463.04,1243.1,0.088775739,37.09
29/3/1981,0,20.74,0.507999653,429.53,1445.07,0.074457071,36.88
30/3/1981,0,22.555,0.507999653,397.09,1722.47,0.060138404,36.91
31/3/1981,0,25.26,0.512000116,398.81,2000.75,0.051547203,36.91
1/4/1981,0,25.225,0.512000116,424.71,1887.38,0.045819736,36.98
2/4/1981,0,24.745,0.512000116,407.4,1924.82,0.040092269,37.12
3/4/1981,0,20.47,0.512326968,533.32,1065.38,0.037228536,36.6
4/4/1981,0,23.75,0.515999884,430.96,1721.22,0.034364802,36.57
5/4/1981,0,23.26,0.515999884,456.3,1575.54,0.031501069,36.99
6/4/1981,0,22.05,0.515999884,432.88,1578.35,0.028064588,37.25
7/4/1981,0,18.69,0.520000116,496.4,1112.75,0.024341735,37.25
8/4/1981,0,19.895,0.520000116,470.73,1275.04,0.022050748,37.26
9/4/1981,0,22.015,0.520000116,453.27,1495.3,0.020618881,37.1
10/4/1981,0,21.965,0.520751042,456.19,1482.96,0.019759761,36.7
11/4/1981,0,22.075,0.524000116,461.99,1470.12,0.018327895,36.2
12/4/1981,0,22.26,0.524000116,471.51,1444.17,0.017755148,35.77
13/4/1981,0,21.67,0.524000116,506.63,1258.07,0.016609654,34.45
14/4/1981,0,22.53,0.528000347,494.63,1370.48,0.015177788,34.38
15/4/1981,0,23.855,0.528000347,469.83,1573.43,0.014032294,34.27
16/4/1981,0,24.505,0.528000347,380.4,2014.95,0.013459548,33.74
17/4/1981,1.41,23.135,0.528000347,386.25,1795.12,0.013745921,32.52
