# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-02-08 06:40:09 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 271538082002301 AMAX NO 3 WELL NEAR PINE LEVEL FL
# -----------------------------------------------------------------------------------
#
# Data provided for site 271538082002301
#            TS   parameter     statistic     Description
#        251411       62611     00001     Groundwater level above NAVD 1988, feet (Maximum)
#         28739       62610     00001     Groundwater level above NGVD 1929, feet (Maximum)
#            00       72019     00011     Depth to water level, feet below land surface (Instantaneous)
#            00       62610     00011     Groundwater level above NGVD 1929, feet (Instantaneous)
#            00       62611     00011     Groundwater level above NAVD 1988, feet (Instantaneous)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=271538082002301&ts_ids=28739]
# 
# Discrete groundwater status codes included in this output:
#  '00_62610_00011_cd'
#  '00_62611_00011_cd'
#  '00_72019_00011_cd'
#
#     1          Not determined
#
#     A          Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	251411_62611_00001	251411_62611_00001_cd	28739_62610_00001	28739_62610_00001_cd	00_62610_00011	00_62610_00011_cd	00_62611_00011	00_62611_00011_cd	00_72019_00011	00_72019_00011_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	271538082002301	1985-03-13		34.22	A	35.27	A:R						
USGS	271538082002301	1985-03-14		34.08	A	35.13	A:R						
USGS	271538082002301	1985-03-15		33.71	A	34.76	A:R						
USGS	271538082002301	1985-03-16		33.63	A	34.68	A:R						
USGS	271538082002301	1985-03-17		33.72	A	34.77	A:R						
USGS	271538082002301	1985-03-18		33.92	A	34.97	A:R						
USGS	271538082002301	1985-03-19		34.22	A	35.27	A:R						
USGS	271538082002301	1985-03-20		34.62	A	35.67	A:R						
USGS	271538082002301	1985-03-21		35.02	A	36.07	A:R						
USGS	271538082002301	1985-03-22		35.42	A	36.47	A:R						
USGS	271538082002301	1985-03-23		35.52	A	36.57	A:R						
USGS	271538082002301	1985-03-24		36.02	A	37.07	A:R						
USGS	271538082002301	1985-03-25		36.22	A	37.27	A:R						
USGS	271538082002301	1985-03-26		36.42	A	37.47	A:R						
USGS	271538082002301	1985-03-27		36.52	A	37.57	A:R						
USGS	271538082002301	1985-03-28		36.52	A	37.57	A:R						
USGS	271538082002301	1985-03-29		36.42	A	37.47	A:R						
USGS	271538082002301	1985-03-30		36.32	A	37.37	A:R						
USGS	271538082002301	1985-03-31		36.02	A	37.07	A:R						
USGS	271538082002301	1985-04-01		35.87	A	36.92	A:R						
USGS	271538082002301	1985-04-02		35.87	A	36.92	A:R						
USGS	271538082002301	1985-04-03		36.16	A	37.21	A:R						
USGS	271538082002301	1985-04-04		36.34	A	37.39	A:R						
USGS	271538082002301	1985-04-05		36.58	A	37.63	A:R						
USGS	271538082002301	1985-04-06		36.58	A	37.63	A:R						
USGS	271538082002301	1985-04-07		36.76	A	37.81	A:R						
