date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm),GW(m),GW(feet)
1/9/1980,8.98,26.755,0.52,310,2480,0.181446156,12.49695122,35.4
2/9/1980,16.41,26.61,0.52,296.7,2515.72,0.264608977,12.60365854,35.56
3/9/1980,32.94,25.77,0.52,271.77,2492.88,0.347771798,12.71036585,35.75
4/9/1980,9.36,26.705,0.516,293.61,2547.63,0.483856415,12.71036585,35.91
5/9/1980,0,27.97,0.516,392.8,2720,0.672862827,12.46646341,36.04
6/9/1980,0.48,27.95,0.516,410.83,2640,0.907230778,12.29878049,36.13
7/9/1980,0,27.695,0.516,395.54,2666.15,1.11891796,12.05487805,36.11
8/9/1980,0,27.525,0.512000116,399.36,2629.14,0.680423083,11.7652439,36.01
9/9/1980,0,27.455,0.512000116,397.07,2625.65,0.461175645,11.52134146,35.92
10/9/1980,4.15,26.375,0.512000116,296.04,2480,0.294850003,11.32317073,35.84
11/9/1980,7.47,25.66,0.507999653,370.12,2305.78,0.211687182,11.18597561,35.81
12/9/1980,1.89,26.485,0.507999653,400.63,2394.46,0.143644873,11.21646341,35.75
13/9/1980,9.85,26.67,0.507999653,305.84,2454.33,0.098283334,11.36890244,35.69
14/9/1980,8.82,26.505,0.507999653,308.85,2402.32,0.090723078,11.50609756,35.81
15/9/1980,3.42,26.77,0.504000116,311.14,2487.45,0.083162821,11.62804878,36.07
16/9/1980,0.27,27.25,0.504000116,370.77,2636.36,0.075602565,11.67378049,36.27
17/9/1980,7.08,27.54,0.504000116,267.92,2723.22,0.211687182,11.7652439,36.34
18/9/1980,0,27.75,0.500000116,367.16,2719.64,0.189006412,11.85670732,36.41
19/9/1980,0.32,27.3,0.500000116,407.6,2495.66,0.158765386,11.67378049,36.54
20/9/1980,0,28.245,0.500000116,383.95,2718.17,0.189006412,11.27743902,36.64
21/9/1980,0,28,0.500000116,395.25,2640,0.219247438,10.97256098,36.62
22/9/1980,0,27.96,0.496,395.27,2626.88,0.196566669,10.97256098,36.55
23/9/1980,0,28.2,0.496,381.63,2704.71,0.166325643,10.75914634,36.48
24/9/1980,1.01,27.565,0.496,382.71,2581.28,0.143644873,10.56097561,36.41
25/9/1980,1.91,27.58,0.492000231,356.86,2659.24,0.120964104,10.40853659,36.33
