# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-02-08 06:17:00 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 300740084293001 USGS WELL(BENCHMARK)NR CRAWFORDVILLE,FLA.
# -----------------------------------------------------------------------------------
#
# Data provided for site 300740084293001
#            TS   parameter     statistic     Description
#         29918       62610     00001     Groundwater level above NGVD 1929, feet (Maximum)
#            00       72019     00011     Depth to water level, feet below land surface (Instantaneous)
#            00       62610     00011     Groundwater level above NGVD 1929, feet (Instantaneous)
#            00       62611     00011     Groundwater level above NAVD 1988, feet (Instantaneous)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
# Discrete groundwater status codes included in this output:
#  '00_62610_00011_cd'
#  '00_62611_00011_cd'
#  '00_72019_00011_cd'
#
#     ""         The reported water-level measurement represents a static level
#     1          Not determined
#
#     A          Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	29918_62610_00001	29918_62610_00001_cd	00_62610_00011	00_62610_00011_cd	00_72019_00011	00_72019_00011_cd	00_62611_00011	00_62611_00011_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	300740084293001	1980-01-01		32.49	A						
USGS	300740084293001	1980-01-02		32.43	A						
USGS	300740084293001	1980-01-03		32.40	A						
USGS	300740084293001	1980-01-04		32.42	A						
USGS	300740084293001	1980-01-05		32.35	A						
USGS	300740084293001	1980-01-06		32.30	A						
USGS	300740084293001	1980-01-07		32.31	A						
USGS	300740084293001	1980-01-08		32.32	A						
USGS	300740084293001	1980-01-09		32.39	A						
USGS	300740084293001	1980-01-10		32.48	A						
USGS	300740084293001	1980-01-11		32.65	A						
USGS	300740084293001	1980-01-12		32.76	A						
USGS	300740084293001	1980-01-13		32.87	A						
USGS	300740084293001	1980-01-14		32.89	A						
USGS	300740084293001	1980-01-15		32.87	A						
USGS	300740084293001	1980-01-16		32.87	A						
USGS	300740084293001	1980-01-17		32.88	A						
USGS	300740084293001	1980-01-18		32.86	A						
USGS	300740084293001	1980-01-19		32.80	A						
USGS	300740084293001	1980-01-20		32.78	A						
USGS	300740084293001	1980-01-21		32.77	A						
USGS	300740084293001	1980-01-22		32.81	A						
USGS	300740084293001	1980-01-23		32.86	A						
USGS	300740084293001	1980-01-24		32.92	A						
USGS	300740084293001	1980-01-25		32.97	A						
USGS	300740084293001	1980-01-26		33.19	A						
USGS	300740084293001	1980-01-27		33.31	A						
USGS	300740084293001	1980-01-28		33.41	A						
USGS	300740084293001	1980-01-29		33.44	A						
USGS	300740084293001	1980-01-30		33.43	A						
USGS	300740084293001	1980-01-31		33.45	A						
USGS	300740084293001	1980-02-01		33.37	A						
USGS	300740084293001	1980-02-02		33.32	A						
USGS	300740084293001	1980-02-03		33.29	A						
USGS	300740084293001	1980-02-04		33.23	A						
USGS	300740084293001	1980-02-05		33.15	A						
USGS	300740084293001	1980-02-06		33.16	A						
USGS	300740084293001	1980-02-07		33.07	A						
USGS	300740084293001	1980-02-08		32.99	A						
USGS	300740084293001	1980-02-09		33.08	A						
USGS	300740084293001	1980-02-10		33.11	A						
USGS	300740084293001	1980-02-11		33.08	A						
USGS	300740084293001	1980-02-12		33.07	A						
USGS	300740084293001	1980-02-13		33.02	A						
USGS	300740084293001	1980-02-14		33.00	A						
USGS	300740084293001	1980-02-15		33.01	A						
USGS	300740084293001	1980-02-16		33.02	A						
USGS	300740084293001	1980-02-17		32.93	A						
USGS	300740084293001	1980-02-18		32.84	A						
USGS	300740084293001	1980-02-19		32.83	A						
USGS	300740084293001	1980-02-20		32.80	A						
USGS	300740084293001	1980-02-21		32.76	A						
USGS	300740084293001	1980-02-22		32.73	A						
USGS	300740084293001	1980-02-23		32.68	A						
USGS	300740084293001	1980-02-24		32.85	A						
USGS	300740084293001	1980-02-25		33.02	A						
USGS	300740084293001	1980-02-26		33.07	A						
USGS	300740084293001	1980-02-27		33.18	A						
USGS	300740084293001	1980-02-28		33.21	A						
USGS	300740084293001	1980-02-29		33.17	A						
USGS	300740084293001	1980-03-01		33.16	A						
USGS	300740084293001	1980-03-02		33.11	A						
USGS	300740084293001	1980-03-03		32.97	A						
USGS	300740084293001	1980-03-04		32.96	A						
USGS	300740084293001	1980-03-05		32.97	A						
USGS	300740084293001	1980-03-06		32.89	A						
