date,Evapotranspiration,Groundwater storage,Near surface air temperature,Plant canopy,Rain precipitation rate,Snow precipitation rate,Terrestrial water storage,Total precipitation rate
1/1/1980,9.30E-06,975.677673,280.372131,2.24E-06,1.56E-05,0,1320.3407,1.56E-05
2/1/1980,1.18E-05,976.494507,279.231049,6.27E-07,5.59E-06,0,1320.19751,5.59E-06
3/1/1980,1.86E-05,976.747803,282.828674,3.69E-06,1.73E-05,0,1319.90234,1.73E-05
4/1/1980,1.51E-05,977.506592,282.296722,7.13E-06,0.000174574,0,1325.4187,0.000174574
5/1/1980,9.38E-06,980.500854,275.108154,1.49E-06,1.86E-06,1.56E-06,1330.43945,3.42E-06
6/1/1980,1.14E-05,982.296448,275.049988,7.36E-07,3.02E-06,2.05E-07,1329.81128,3.22E-06
7/1/1980,1.83E-05,983.149536,283.188843,5.62E-06,8.99E-05,7.81E-07,1331.21545,9.07E-05
8/1/1980,1.02E-05,984.967957,284.030945,4.80E-06,5.79E-05,4.01E-09,1335.96594,5.79E-05
9/1/1980,8.83E-06,987.167297,281.992157,3.34E-06,1.15E-05,0,1337.96216,1.15E-05
10/1/1980,6.15E-06,988.825745,283.396637,2.10E-06,7.65E-05,5.57E-08,1340.47693,7.66E-05
11/1/1980,1.02E-05,991.734619,287.878754,4.45E-06,0.000195907,0,1349.57715,0.000195907
12/1/1980,2.37E-05,996.37384,278.647461,3.97E-06,2.83E-05,1.21E-06,1355.75024,2.95E-05
13/1/1980,1.52E-05,999.283081,281.45578,1.05E-06,3.57E-06,0,1355.40723,3.57E-06
14/1/1980,1.08E-05,1000.88672,282.457062,2.76E-06,2.90E-05,7.73E-09,1355.36255,2.90E-05
15/1/1980,9.11E-06,1002.0321,282.606903,7.19E-07,6.81E-06,0,1356.08984,6.81E-06
16/1/1980,1.49E-05,1002.60736,284.523193,5.69E-07,1.69E-06,0,1355.4126,1.69E-06
17/1/1980,1.44E-05,1003.27008,287.692017,5.00E-06,0.00014912,0,1359.42822,0.00014912
18/1/1980,1.59E-05,1006.2735,283.720245,5.97E-06,0.000113733,2.32E-08,1367.32495,0.000113756
19/1/1980,1.27E-05,1009.78442,283.377411,6.18E-07,5.00E-06,0,1370.22925,5.00E-06
20/1/1980,1.71E-05,1011.52869,284.295868,5.94E-08,7.75E-09,0,1369.17029,7.75E-09
21/1/1980,1.66E-05,1011.9209,283.957947,1.15E-07,2.18E-07,0,1367.63647,2.18E-07
22/1/1980,1.68E-05,1013.13776,286.676819,5.39E-06,0.000333001,0,1376.9679,0.000333001
23/1/1980,1.90E-05,1017.92108,277.69928,4.34E-06,3.17E-05,9.74E-06,1387.14404,4.14E-05
24/1/1980,2.12E-05,1020.71631,276.21817,1.77E-06,4.27E-07,2.95E-08,1386.98193,4.56E-07
25/1/1980,1.91E-05,1021.50232,283.63208,1.27E-06,1.18E-05,0,1385.46423,1.18E-05
26/1/1980,1.69E-05,1022.12842,282.320374,5.61E-06,8.81E-05,0,1387.4845,8.81E-05
27/1/1980,9.13E-06,1023.59003,284.090912,3.28E-06,3.75E-05,0,1390.24365,3.75E-05
28/1/1980,9.77E-06,1024.83093,279.604797,1.29E-06,2.89E-06,3.25E-07,1391.06677,3.22E-06
29/1/1980,1.45E-05,1025.2699,277.415222,1.46E-06,4.86E-06,2.08E-06,1390.3689,6.95E-06
30/1/1980,7.94E-06,1025.27356,278.842621,1.00E-06,1.19E-05,6.04E-06,1390.13184,1.80E-05
31/1/1980,1.55E-05,1025.38306,277.308411,2.04E-06,2.21E-05,2.29E-05,1391.2207,4.50E-05
1/2/1980,2.02E-05,1025.30383,270.954773,8.78E-07,5.34E-07,4.94E-06,1391.63745,5.47E-06
2/2/1980,1.37E-05,1025.08936,271.77887,1.94E-06,1.14E-05,3.40E-06,1390.8313,1.48E-05
3/2/1980,1.36E-05,1025.04895,274.545013,1.38E-06,8.14E-07,1.12E-08,1390.03613,8.26E-07
4/2/1980,1.84E-05,1024.74609,274.196808,1.60E-06,1.55E-06,2.26E-07,1388.69385,1.78E-06
5/2/1980,1.40E-05,1024.1842,275.665405,1.64E-06,6.72E-06,1.86E-05,1388.17896,2.53E-05
6/2/1980,1.65E-05,1023.99591,279.033569,3.26E-06,3.48E-05,3.75E-07,1388.58215,3.52E-05
7/2/1980,1.37E-05,1024.02893,276.777863,1.59E-06,3.00E-06,1.04E-06,1388.51221,4.03E-06
8/2/1980,1.71E-05,1023.79346,278.420868,3.50E-07,5.09E-07,0,1387.35242,5.09E-07
9/2/1980,1.66E-05,1023.82996,280.09964,3.94E-06,0.000144309,1.22E-06,1390.44324,0.00014553
10/2/1980,1.46E-05,1025.54004,277.798492,4.26E-06,3.17E-05,6.48E-06,1394.79187,3.82E-05
11/2/1980,1.26E-05,1026.7688,275.7547,6.81E-07,0,0,1395.12109,0
12/2/1980,1.59E-05,1026.96228,276.022888,2.08E-07,0,0,1393.78125,0
13/2/1980,1.52E-05,1026.6449,277.227844,1.01E-07,0,0,1392.48035,0
14/2/1980,2.17E-05,1026.12427,280.201019,1.37E-06,4.66E-06,0,1391.15259,4.66E-06
15/2/1980,2.51E-05,1025.33911,283.343018,1.33E-06,3.37E-06,6.95E-10,1389.34644,3.37E-06
16/2/1980,1.86E-05,1024.65991,282.561218,4.56E-06,8.10E-05,3.50E-06,1390.15076,8.45E-05
17/2/1980,1.83E-05,1024.84534,275.690857,6.06E-07,1.54E-06,7.53E-07,1391.32874,2.30E-06
18/2/1980,2.04E-05,1024.74463,275.192139,2.35E-06,1.35E-05,1.19E-06,1390.34875,1.47E-05
19/2/1980,2.59E-05,1024.56055,282.032562,3.64E-06,3.56E-05,3.42E-07,1390.19995,3.59E-05
20/2/1980,2.05E-05,1024.59082,285.840271,3.11E-06,2.39E-05,0,1390.04187,2.39E-05
21/2/1980,1.97E-05,1024.62659,287.927979,1.87E-06,2.14E-05,0,1389.92261,2.14E-05
22/2/1980,2.78E-05,1024.84583,287.599335,6.26E-06,0.000133078,0,1392.91541,0.000133078
23/2/1980,2.25E-05,1026.32581,288.206238,1.45E-06,1.01E-05,0,1395.51465,1.01E-05
24/2/1980,2.14E-05,1027.09619,287.641174,3.95E-06,4.65E-05,0,1395.547,4.65E-05
25/2/1980,3.07E-05,1027.66943,281.287384,2.07E-06,3.67E-06,3.96E-08,1395.28662,3.71E-06
26/2/1980,2.58E-05,1027.12952,274.760529,8.33E-07,2.77E-07,1.66E-06,1392.62134,1.93E-06
27/2/1980,3.44E-05,1026.60596,277.721527,1.66E-06,1.10E-05,3.94E-07,1391.00867,1.14E-05
28/2/1980,3.78E-05,1025.6283,284.439056,1.68E-06,1.48E-05,0,1388.75549,1.48E-05
29/2/1980,2.98E-05,1024.45374,285.148163,4.50E-08,0,0,1386.02722,0
1/3/1980,1.68E-05,1023.94293,281.304413,4.55E-06,0.000149134,4.74E-06,1388.70923,0.00015387
2/3/1980,2.93E-05,1025.32117,269.284393,2.96E-06,8.09E-06,4.92E-05,1394.43445,5.73E-05
3/3/1980,2.60E-05,1025.94153,269.944763,2.70E-06,1.98E-06,2.62E-06,1394.27051,4.60E-06
4/3/1980,2.82E-05,1026.25842,278.582642,3.97E-06,2.67E-05,1.20E-06,1392.95837,2.79E-05
5/3/1980,1.78E-05,1028.76196,287.247711,6.31E-06,0.00055423,0,1408.9137,0.00055423
6/3/1980,1.64E-05,1036.92542,283.164825,1.05E-06,1.79E-06,1.89E-10,1423.56787,1.79E-06
7/3/1980,2.71E-05,1041.38391,288.893036,2.13E-06,1.89E-05,0,1422.52808,1.89E-05
8/3/1980,2.53E-05,1043.83313,292.155457,5.93E-06,0.000296688,0,1429.19189,0.000296688
9/3/1980,2.61E-05,1047.69226,288.228943,4.88E-06,6.02E-05,0,1436.87415,6.02E-05
10/3/1980,3.44E-05,1050.31982,288.072052,5.62E-06,0.000109716,0,1440.04675,0.000109716
11/3/1980,3.64E-05,1051.95935,285.128235,2.80E-07,0,0,1440.13611,0
12/3/1980,2.87E-05,1052.68396,284.882202,6.42E-06,0.00017455,0,1441.80579,0.00017455
13/3/1980,3.26E-05,1054.62952,288.220703,5.75E-06,0.000162536,0,1448.23376,0.000162536
14/3/1980,3.39E-05,1056.10071,280.848633,1.26E-06,4.56E-06,5.48E-07,1449.33081,5.11E-06
15/3/1980,4.41E-05,1056.06482,282.560852,1.13E-07,0,0,1446.50586,0
16/3/1980,3.92E-05,1054.91797,287.324829,5.94E-09,0,0,1442.50391,0
17/3/1980,3.11E-05,1055.47949,289.65097,7.19E-06,0.000569552,0,1452.06042,0.000569552
18/3/1980,3.36E-05,1059.60107,282.337219,4.62E-06,4.24E-05,5.66E-07,1461.38354,4.30E-05
19/3/1980,3.55E-05,1061.24829,284.320465,2.96E-06,0.000117981,0,1463.34924,0.000117981
20/3/1980,2.37E-05,1063.19556,289.219818,6.60E-06,0.00011573,0,1466.9856,0.00011573
21/3/1980,4.50E-05,1065.01672,285.518738,8.39E-06,0.000158093,0,1470.29944,0.000158094
22/3/1980,4.05E-05,1066.09045,281.946167,2.48E-07,0,0,1470.18616,0
23/3/1980,4.64E-05,1065.87366,285.540558,3.39E-06,2.94E-05,0,1467.51318,2.94E-05
24/3/1980,4.01E-05,1065.29639,289.219757,6.84E-06,0.000123141,0,1466.83923,0.000123141
