date,Surface Skin temperature,Evapotranspiration,Groundwater storage,Near surface air temperature,Plant canopy,Rain precipitation rate,Snow precipitation rate,Terrestrial water storage,Total precipitation rate
1/1/1980,286.462219,2.50E-05,755.585999,286.507629,2.05E-06,1.12E-05,0,977.38269,1.12E-05
2/1/1980,284.76712,2.56E-05,755.204041,284.720734,1.95E-06,4.98E-05,0,977.475891,4.98E-05
3/1/1980,285.617676,2.78E-05,755.11322,285.769531,9.19E-07,2.10E-06,0,977.15918,2.10E-06
4/1/1980,288.171692,3.11E-05,754.937744,288.513092,5.04E-06,9.17E-05,0,978.252869,9.17E-05
5/1/1980,286.90979,2.09E-05,755.230652,286.999359,1.31E-06,1.69E-06,4.72E-10,979.448608,1.69E-06
6/1/1980,281.272827,1.85E-05,755.250488,281.009338,6.93E-08,0,0,977.648438,0
7/1/1980,287.303833,3.01E-05,754.966797,287.67038,1.72E-06,2.56E-05,0,976.907715,2.56E-05
8/1/1980,291.487854,2.83E-05,754.678406,291.705017,3.04E-06,6.26E-05,0,977.531616,6.26E-05
9/1/1980,289.667999,2.67E-05,754.958435,289.791138,4.01E-06,7.44E-05,0,980.451782,7.44E-05
10/1/1980,289.011993,2.18E-05,755.759644,289.045837,1.84E-06,2.07E-05,0,981.900818,2.07E-05
11/1/1980,289.808624,2.24E-05,756.47876,289.864868,1.50E-06,2.62E-05,0,981.902893,2.62E-05
12/1/1980,288.665863,3.59E-05,757.200317,288.855377,6.20E-06,0.000117104,0,984.871643,0.000117104
13/1/1980,288.800049,2.31E-05,758.353088,288.835754,6.57E-07,8.92E-07,0,986.846436,8.92E-07
14/1/1980,286.929596,1.99E-05,759.099915,286.83963,2.93E-06,4.37E-05,0,986.698608,4.37E-05
15/1/1980,288.177307,1.74E-05,759.845581,288.066132,1.73E-06,6.20E-05,0,989.318115,6.20E-05
16/1/1980,287.690948,2.62E-05,760.894958,287.691223,1.08E-06,4.41E-06,0,989.872742,4.41E-06
17/1/1980,290.904053,3.01E-05,761.444031,291.040283,6.67E-07,1.29E-05,0,988.19812,1.29E-05
18/1/1980,289.853271,2.33E-05,761.646118,289.917084,1.57E-06,1.96E-05,0,986.918274,1.96E-05
19/1/1980,289.44928,2.52E-05,761.695129,289.471863,6.34E-07,1.89E-06,0,985.851379,1.89E-06
20/1/1980,289.761993,3.44E-05,761.302917,290.040619,5.96E-07,1.71E-06,0,983.44812,1.71E-06
21/1/1980,288.927155,3.04E-05,760.495972,288.996643,1.59E-07,3.12E-07,0,980.611511,3.12E-07
22/1/1980,290.589783,3.03E-05,759.426575,290.78717,3.06E-07,7.98E-07,0,978.143311,7.98E-07
23/1/1980,290.071106,3.47E-05,758.333069,290.188293,4.12E-06,0.000104028,8.93E-08,979.20929,0.000104117
24/1/1980,283.322357,2.56E-05,757.888733,283.050964,3.46E-07,2.44E-07,9.99E-09,980.376709,2.54E-07
25/1/1980,287.644135,2.58E-05,757.425354,287.765625,2.46E-06,2.93E-05,0,979.454285,2.93E-05
26/1/1980,289.515686,3.27E-05,757.152405,289.75415,3.12E-06,8.70E-05,0,981.418762,8.70E-05
27/1/1980,290.486694,2.46E-05,757.694336,290.484375,2.78E-06,0.000131204,0,987.085754,0.000131204
28/1/1980,286.604736,1.56E-05,759.044312,286.319611,1.53E-06,8.02E-06,0,990.672607,8.02E-06
29/1/1980,287.811859,2.53E-05,760.074219,287.727753,2.03E-06,1.81E-05,0,990.184937,1.81E-05
30/1/1980,287.696228,2.48E-05,760.610779,287.604492,5.92E-08,1.10E-09,0,988.597107,1.10E-09
31/1/1980,290.380615,3.41E-05,760.832275,290.729156,3.30E-06,9.09E-05,1.55E-08,989.581421,9.09E-05
1/2/1980,284.178711,2.51E-05,761.346802,283.983093,2.94E-07,4.64E-07,1.42E-06,990.10199,1.88E-06
2/2/1980,279.186676,2.06E-05,761.570374,278.847992,1.80E-06,5.26E-06,5.70E-07,988.448181,5.83E-06
