date,Evapotranspiration,Groundwater storage,Near surface air temperature,Plant canopy,Rain precipitation rate,Snow precipitation rate,Terrestrial water storage,Total precipitation rate
1/1/1980,1.32E-05,766.102539,280.741913,4.58E-06,4.94E-05,7.88E-09,1053.34131,4.94E-05
2/1/1980,1.25E-05,767.008423,279.193024,8.19E-07,1.23E-05,0,1054.90552,1.23E-05
3/1/1980,1.42E-05,767.670959,282.750122,2.05E-06,1.95E-05,0,1054.94958,1.95E-05
4/1/1980,1.86E-05,768.583801,284.450806,4.77E-06,0.00011918,0,1058.53601,0.00011918
5/1/1980,9.57E-06,770.728333,276.904755,6.25E-07,1.30E-06,9.39E-07,1061.81213,2.24E-06
6/1/1980,1.18E-05,772.052673,275.783875,9.66E-07,3.86E-06,1.60E-06,1061.18408,5.46E-06
7/1/1980,1.81E-05,772.63269,279.941925,1.69E-06,1.29E-05,2.66E-06,1060.75269,1.55E-05
8/1/1980,1.16E-05,773.00293,286.018219,2.03E-06,2.65E-05,0,1060.71448,2.65E-05
9/1/1980,1.32E-05,773.822754,285.55835,4.42E-06,0.000154015,0,1066.75696,0.000154015
10/1/1980,1.30E-05,776.083435,282.811493,2.50E-06,5.44E-05,4.32E-09,1073.29102,5.44E-05
11/1/1980,1.37E-05,778.687073,283.649231,2.70E-06,4.45E-05,0,1075.75208,4.45E-05
12/1/1980,2.25E-05,780.98645,279.116272,3.46E-06,2.63E-05,1.55E-06,1076.77844,2.78E-05
13/1/1980,1.79E-05,782.553284,283.341522,4.18E-06,4.19E-05,1.32E-07,1077.76636,4.21E-05
14/1/1980,1.10E-05,783.946716,280.494232,2.08E-06,2.52E-05,4.11E-08,1079.14124,2.53E-05
15/1/1980,7.00E-06,785.136169,281.347961,5.50E-07,1.50E-05,6.09E-08,1079.86731,1.51E-05
16/1/1980,1.75E-05,786.094482,284.469116,3.50E-06,4.79E-05,2.92E-08,1080.97717,4.79E-05
17/1/1980,1.94E-05,787.251404,286.471161,3.09E-06,5.04E-05,0,1083.31018,5.04E-05
18/1/1980,1.64E-05,788.736877,281.280975,2.20E-06,4.91E-05,1.90E-07,1084.94177,4.93E-05
19/1/1980,1.45E-05,790.030762,284.556458,1.38E-07,0,0,1085.38013,0
20/1/1980,1.99E-05,790.438354,284.020691,6.83E-09,0,0,1083.88428,0
21/1/1980,1.57E-05,790.21283,283.547607,1.04E-06,3.28E-06,3.61E-09,1082.31567,3.28E-06
22/1/1980,1.74E-05,790.557251,284.053864,4.69E-06,0.000187064,0,1087.33264,0.000187064
23/1/1980,2.09E-05,793.204651,281.009094,3.98E-06,7.38E-05,1.36E-05,1095.07043,8.74E-05
24/1/1980,1.97E-05,795.425537,275.036407,7.72E-07,0,0,1096.52332,0
25/1/1980,1.67E-05,796.473511,282.259552,2.05E-06,2.07E-05,0,1095.67603,2.07E-05
26/1/1980,1.97E-05,797.217834,281.147949,3.84E-06,7.19E-05,9.80E-10,1097.56799,7.20E-05
27/1/1980,1.09E-05,798.640381,284.954987,5.01E-06,0.000109007,0,1102.97607,0.000109007
28/1/1980,8.95E-06,801.07373,281.102264,1.88E-06,9.88E-06,1.98E-08,1106.29797,9.90E-06
29/1/1980,2.03E-05,802.949585,280.948944,3.02E-06,9.99E-05,4.45E-08,1109.38696,1.00E-04
30/1/1980,1.31E-05,804.820923,280.063232,7.62E-07,2.26E-06,1.87E-06,1111.61926,4.13E-06
31/1/1980,2.46E-05,806.217041,281.683167,3.07E-06,3.58E-05,3.74E-06,1111.55737,3.96E-05
1/2/1980,1.91E-05,807.1203,274.816528,1.15E-07,1.82E-09,8.26E-08,1111.06287,8.44E-08
2/2/1980,1.31E-05,807.49646,271.056061,8.06E-09,3.56E-09,0,1109.64441,3.56E-09
3/2/1980,1.49E-05,807.550293,273.2742,3.48E-07,5.27E-07,1.66E-09,1108.51562,5.28E-07
4/2/1980,1.74E-05,807.372192,275.728119,7.24E-07,6.46E-06,5.00E-07,1107.38391,6.96E-06
5/2/1980,1.63E-05,807.007385,275.089966,9.74E-07,3.29E-06,3.24E-06,1106.26318,6.53E-06
6/2/1980,1.74E-05,806.605347,279.21109,1.76E-06,1.75E-05,6.14E-08,1105.55042,1.75E-05
7/2/1980,1.61E-05,806.292419,277.292816,1.90E-06,1.70E-05,2.22E-07,1105.52893,1.72E-05
8/2/1980,1.71E-05,806.062561,279.301758,8.17E-07,9.44E-06,0,1105.1698,9.44E-06
9/2/1980,1.63E-05,805.871826,280.522858,1.90E-06,3.38E-05,1.95E-06,1105.24146,3.57E-05
10/2/1980,1.98E-05,806.13092,279.875549,2.26E-06,3.78E-05,7.61E-06,1106.27722,4.54E-05
11/2/1980,1.23E-05,806.562012,277.899872,6.15E-07,5.47E-07,0,1106.44446,5.47E-07
12/2/1980,1.97E-05,806.416016,277.614075,9.90E-08,0,0,1104.9801,0
