date,Surface Skin temperature,Evapotranspiration,Groundwater storage,Near surface air temperature,Plant canopy,Rain precipitation rate,Snow precipitation rate,Terrestrial water storage,Total precipitation rate
1/1/1980,281.113129,1.41E-05,859.960144,281.121124,0.019240458,1.67E-05,1.13E-08,1162.8103,1.67E-05
2/1/1980,281.0242,1.44E-05,860.083496,281.113068,0.010420669,1.63E-05,0,1162.92786,1.63E-05
3/1/1980,282.203888,1.74E-05,860.113708,282.33255,0.017188322,1.30E-05,1.39E-07,1162.67981,1.31E-05
4/1/1980,283.877747,1.78E-05,860.370422,284.028809,0.030634312,9.73E-05,2.17E-08,1165.18665,9.73E-05
5/1/1980,279.133453,1.21E-05,861.706299,279.045532,0.013161774,8.31E-06,1.13E-06,1167.75171,9.44E-06
6/1/1980,277.458344,1.22E-05,862.551025,277.314178,0.007854991,3.34E-06,5.44E-07,1167.22656,3.88E-06
7/1/1980,282.059814,1.95E-05,862.831787,282.262177,0.018070512,2.80E-05,9.61E-07,1167.09985,2.90E-05
8/1/1980,285.629761,1.47E-05,863.181763,285.721344,0.036192682,4.35E-05,1.73E-10,1168.15686,4.35E-05
9/1/1980,284.506317,1.40E-05,864.156921,284.541534,0.057045199,9.30E-05,1.94E-08,1172.34631,9.30E-05
10/1/1980,282.530304,1.18E-05,865.986145,282.480865,0.036270496,3.06E-05,2.49E-07,1175.77771,3.09E-05
11/1/1980,284.715729,1.52E-05,867.808228,284.819519,0.042000752,6.63E-05,1.66E-07,1178.20142,6.64E-05
12/1/1980,281.153534,2.43E-05,869.826599,281.142212,0.017160997,5.90E-05,2.13E-06,1181.17493,6.12E-05
13/1/1980,282.136292,1.93E-05,871.542419,282.238617,0.012189898,2.89E-05,3.66E-06,1182.81348,3.25E-05
14/1/1980,283.587402,1.11E-05,873.305054,283.514862,0.062297259,9.32E-05,4.55E-08,1186.19861,9.32E-05
15/1/1980,282.450012,1.16E-05,875.7276,282.412018,0.018224545,2.17E-05,4.48E-07,1189.41284,2.22E-05
16/1/1980,283.635956,1.60E-05,877.345398,283.638824,0.014985883,1.81E-05,8.15E-08,1189.65076,1.82E-05
17/1/1980,287.029999,1.74E-05,878.687927,287.152771,0.040707558,0.00011205,0,1192.85339,0.00011205
18/1/1980,284.206573,1.77E-05,881.29248,284.180634,0.026369495,0.000106796,4.73E-08,1198.5979,0.000106844
19/1/1980,283.387482,1.67E-05,884.239075,283.424866,0.011135557,5.20E-06,4.10E-08,1201.06482,5.24E-06
20/1/1980,284.022552,2.04E-05,885.734619,284.336517,0.007214959,1.46E-05,5.03E-08,1200.20227,1.47E-05
21/1/1980,283.141113,1.84E-05,886.192749,283.094574,0.003715142,1.26E-06,5.84E-09,1198.87134,1.26E-06
22/1/1980,284.274109,1.92E-05,886.634216,284.356873,0.024328463,0.000153434,2.81E-06,1202.30115,0.00015624
23/1/1980,280.910706,2.15E-05,888.656189,280.804688,0.017698236,6.52E-05,1.06E-05,1208.02649,7.58E-05
24/1/1980,277.368195,2.21E-05,890.159241,277.313416,0.004809348,1.22E-07,9.04E-09,1208.95898,1.31E-07
25/1/1980,282.57489,1.93E-05,890.628784,282.652008,0.011359415,1.42E-05,0,1207.60962,1.42E-05
26/1/1980,282.973816,1.93E-05,890.929993,283.035767,0.024558943,6.13E-05,1.15E-09,1208.73926,6.13E-05
27/1/1980,284.298981,1.40E-05,891.866699,284.17807,0.048439417,8.90E-05,3.38E-07,1212.79834,8.94E-05
28/1/1980,281.448029,1.15E-05,893.461792,281.221069,0.018989088,6.70E-06,1.21E-07,1215.26697,6.82E-06
29/1/1980,281.399597,1.76E-05,894.55719,281.321686,0.014467548,3.86E-05,4.13E-07,1215.86963,3.90E-05
30/1/1980,280.139465,1.49E-05,895.330627,279.94577,0.007411863,3.76E-06,8.61E-07,1215.91187,4.62E-06
31/1/1980,281.183533,2.13E-05,895.857849,281.213776,0.015897028,4.27E-05,1.29E-05,1216.62415,5.56E-05
1/2/1980,274.483185,2.22E-05,896.250305,274.206268,0.002909094,5.44E-07,1.63E-06,1216.80811,2.17E-06
2/2/1980,273.18161,1.61E-05,896.306519,272.932648,0.014554403,1.57E-05,4.37E-06,1215.83044,2.01E-05
3/2/1980,274.330017,1.65E-05,896.379089,274.131348,0.004680059,4.47E-07,7.48E-09,1214.99438,4.54E-07
4/2/1980,275.843384,2.01E-05,896.188293,275.821991,0.00715922,1.43E-05,7.12E-06,1214.20166,2.15E-05
5/2/1980,276.363037,1.72E-05,895.956055,276.376648,0.00799725,3.42E-06,4.10E-06,1213.52307,7.53E-06
6/2/1980,279.823792,1.86E-05,895.731262,279.963684,0.017643161,2.09E-05,1.69E-06,1213.00525,2.26E-05
7/2/1980,278.335419,1.74E-05,895.582825,278.171539,0.014928225,1.66E-05,5.21E-07,1212.85828,1.72E-05
8/2/1980,278.680023,1.95E-05,895.398438,278.61676,0.005865646,8.11E-06,6.62E-08,1212.27124,8.18E-06
9/2/1980,280.532593,1.82E-05,895.167114,280.548157,0.013239548,4.01E-05,5.15E-06,1212.45703,4.52E-05
10/2/1980,279.660919,1.88E-05,895.431824,279.516418,0.0147368,2.05E-05,9.15E-06,1213.33533,2.97E-05
11/2/1980,277.859711,1.37E-05,895.599854,277.601624,0.006980387,6.48E-06,0,1213.28064,6.48E-06
12/2/1980,278.276978,1.97E-05,895.388916,278.161255,0.004121244,9.80E-07,2.49E-10,1212.02783,9.80E-07
13/2/1980,278.700134,1.78E-05,894.869629,278.528351,0.002879664,1.49E-06,0,1210.48645,1.49E-06
14/2/1980,281.823853,2.20E-05,894.247375,281.975677,0.006517918,1.01E-05,2.44E-06,1209.38208,1.26E-05
15/2/1980,284.230316,2.56E-05,893.590149,284.46405,0.006361714,1.00E-05,8.61E-10,1208.13062,1.00E-05
16/2/1980,283.187378,2.21E-05,892.994995,283.110016,0.015116531,6.65E-05,1.87E-06,1208.56653,6.84E-05
17/2/1980,278.792206,2.03E-05,893.059631,278.509094,0.006148796,1.65E-05,1.34E-06,1209.78918,1.78E-05
18/2/1980,277.92038,2.07E-05,893.02533,277.682892,0.009111445,2.19E-05,2.59E-07,1209.5863,2.22E-05
19/2/1980,282.369263,2.28E-05,892.880554,282.494812,0.007964529,1.02E-05,2.19E-08,1208.94458,1.02E-05
20/2/1980,284.011902,2.01E-05,892.547607,283.894623,0.008257311,6.42E-06,1.69E-09,1207.62744,6.42E-06
21/2/1980,286.400574,2.25E-05,892.062866,286.375488,0.010906234,4.48E-06,1.85E-09,1206.26001,4.48E-06
22/2/1980,287.508179,2.92E-05,891.566345,287.540314,0.020900395,7.67E-05,0,1206.87427,7.67E-05
23/2/1980,286.946442,2.52E-05,891.816772,286.894501,0.014115236,4.26E-05,4.58E-08,1208.76538,4.26E-05
24/2/1980,287.584229,2.38E-05,892.17749,287.565704,0.020781022,2.62E-05,0,1209.21863,2.62E-05
25/2/1980,283.876251,2.48E-05,892.345154,283.771088,0.010414545,1.87E-05,8.90E-09,1208.82983,1.87E-05
26/2/1980,278.143066,2.55E-05,892.075684,277.871857,0.004881279,4.47E-06,6.92E-07,1207.20605,5.16E-06
27/2/1980,279.092224,3.31E-05,891.615173,279.122467,0.008136706,2.00E-05,2.53E-07,1206.02991,2.02E-05
28/2/1980,283.385132,3.30E-05,890.88678,283.507996,0.007499889,2.11E-05,2.90E-07,1204.57263,2.14E-05
29/2/1980,284.597778,2.88E-05,890.205261,284.52597,0.006019258,4.28E-05,2.26E-08,1204.04517,4.28E-05
1/3/1980,281.956421,2.30E-05,890.019348,281.919159,0.025402473,9.87E-05,4.45E-06,1206.96216,0.000103101
2/3/1980,274.620819,2.83E-05,891.08374,274.03598,0.014543217,5.24E-05,6.49E-05,1213.19604,0.000117259
3/3/1980,272.639526,3.59E-05,892.353638,272.238373,0.011174389,3.62E-05,1.81E-05,1216.78796,5.43E-05
4/3/1980,279.286743,2.86E-05,893.998901,279.564667,0.011828633,1.45E-05,6.63E-07,1216.43616,1.52E-05
5/3/1980,286.708344,2.55E-05,895.968384,286.869995,0.038199939,0.000225762,1.97E-08,1221.68958,0.000225782
6/3/1980,285.649292,2.24E-05,899.654358,285.43338,0.020222982,8.64E-06,8.55E-08,1227.22217,8.73E-06
7/3/1980,287.812836,2.91E-05,901.644348,287.919678,0.021558015,8.13E-06,1.39E-08,1225.68127,8.14E-06
8/3/1980,290.89212,2.82E-05,902.499756,290.940186,0.027251972,0.000120986,0,1226.91211,0.000120986
9/3/1980,289.596802,2.37E-05,904.04071,289.380981,0.023654973,7.35E-05,0,1230.78162,7.35E-05
10/3/1980,287.842621,3.14E-05,905.875366,287.978394,0.032241508,0.000159499,1.36E-08,1237.15845,0.000159513
11/3/1980,286.141693,3.35E-05,908.170044,286.059265,0.004689017,1.08E-06,1.24E-07,1239.91663,1.20E-06
12/3/1980,284.531372,3.37E-05,909.709167,284.596619,0.018401479,0.000111461,2.43E-06,1240.67334,0.000113887
13/3/1980,287.732544,2.76E-05,912.261108,287.59906,0.049046386,0.000199451,1.12E-06,1248.30896,0.00020057
14/3/1980,283.535187,3.18E-05,915.965698,283.358978,0.009644585,1.16E-05,2.93E-07,1252.60242,1.19E-05
15/3/1980,283.234619,4.13E-05,917.755615,283.277008,0.001461131,1.50E-08,0,1250.01392,1.50E-08
16/3/1980,287.036499,3.71E-05,917.91095,287.152374,0.005700318,2.22E-05,0,1247.27905,2.22E-05
17/3/1980,289.587646,3.34E-05,918.30896,289.691864,0.023248572,0.000235761,5.30E-10,1250.56213,0.000235761
18/3/1980,286.133759,3.27E-05,920.316833,285.890533,0.020904927,8.70E-05,5.52E-07,1255.92883,8.76E-05
19/3/1980,285.858917,3.51E-05,921.956177,285.898224,0.008427503,4.70E-05,2.68E-08,1257.72314,4.70E-05
20/3/1980,289.502838,2.63E-05,923.093567,289.531555,0.042316627,7.80E-05,9.93E-08,1258.66406,7.81E-05
21/3/1980,287.993988,3.80E-05,924.28241,287.923889,0.023674628,8.90E-05,0,1260.67847,8.90E-05
