date,Evapotranspiration,Groundwater storage,Near surface air temperature,Plant canopy,Rain precipitation rate,Snow precipitation rate,Terrestrial water storage,Total precipitation rate
1/1/1980,7.54E-06,964.75769,282.328186,4.60E-07,2.97E-06,0,1319.49121,2.97E-06
2/1/1980,1.45E-05,964.794556,283.481628,1.65E-06,4.00E-05,0,1320.1123,4.00E-05
3/1/1980,1.69E-05,965.079285,283.542511,2.48E-06,2.12E-05,0,1320.89575,2.12E-05
4/1/1980,1.05E-05,965.284546,281.181915,2.93E-06,2.95E-05,0,1321.44507,2.95E-05
5/1/1980,9.08E-06,965.608521,279.05191,3.67E-07,6.73E-07,8.15E-09,1321.74304,6.81E-07
6/1/1980,1.06E-05,965.638733,279.042664,2.83E-07,1.09E-06,0,1321.05823,1.09E-06
7/1/1980,1.54E-05,965.486389,282.639191,2.64E-06,3.88E-05,0,1321.45947,3.88E-05
8/1/1980,9.35E-06,965.7453,280.595978,1.89E-06,1.21E-05,8.56E-13,1322.11926,1.21E-05
9/1/1980,1.06E-05,965.900085,278.321869,5.19E-07,3.21E-06,0,1321.75403,3.21E-06
10/1/1980,7.33E-06,965.83197,279.427795,7.84E-07,5.76E-06,5.81E-08,1321.28613,5.82E-06
11/1/1980,1.37E-05,966.070984,283.160339,3.15E-06,8.86E-05,1.27E-09,1323.91443,8.86E-05
12/1/1980,1.69E-05,967.071228,277.207703,8.44E-07,1.53E-06,3.21E-08,1325.59985,1.56E-06
13/1/1980,1.12E-05,967.524841,282.034149,7.90E-09,7.12E-09,0,1324.45251,7.12E-09
14/1/1980,1.11E-05,968.830688,285.242523,3.88E-06,0.000281736,0,1332.84692,0.000281736
15/1/1980,1.28E-05,973.419861,280.953949,5.79E-07,4.22E-07,0,1340.36218,4.22E-07
16/1/1980,1.07E-05,976.353394,282.788574,7.64E-07,7.03E-06,0,1339.63599,7.03E-06
17/1/1980,8.93E-06,979.914001,287.622772,2.70E-06,0.000510696,0,1355.60046,0.000510696
18/1/1980,1.25E-05,988.631104,283.776245,3.05E-06,2.52E-05,0,1370.24243,2.52E-05
19/1/1980,1.13E-05,994.504761,283.436615,1.96E-06,2.80E-05,0,1370.96826,2.80E-05
20/1/1980,1.22E-05,997.518433,286.001068,1.03E-07,2.14E-10,0,1370.90881,2.14E-10
21/1/1980,1.38E-05,998.780212,284.455566,3.33E-07,7.67E-06,0,1370.04858,7.67E-06
22/1/1980,1.73E-05,1000.41516,284.148499,4.11E-06,0.000349296,0,1378.45056,0.000349296
23/1/1980,1.62E-05,1004.43164,276.658875,4.15E-06,3.71E-05,1.28E-06,1386.85645,3.83E-05
24/1/1980,2.50E-05,1006.54663,280.35849,3.80E-07,3.39E-08,0,1386.60388,3.39E-08
25/1/1980,2.26E-05,1006.72418,283.861938,1.11E-07,3.02E-07,0,1384.20593,3.02E-07
26/1/1980,1.47E-05,1006.70935,281.340363,2.88E-06,4.12E-05,0,1384.00537,4.12E-05
27/1/1980,9.01E-06,1007.0755,282.483093,1.30E-06,1.71E-05,0,1384.72656,1.71E-05
28/1/1980,8.96E-06,1007.31427,280.893524,6.81E-07,8.69E-07,5.47E-07,1384.64832,1.42E-06
29/1/1980,1.41E-05,1007.20129,280.348816,7.09E-07,2.20E-06,7.52E-07,1383.8175,2.95E-06
30/1/1980,1.39E-05,1006.81934,279.716492,6.00E-07,4.01E-06,2.22E-06,1382.80664,6.23E-06
31/1/1980,1.62E-05,1006.46643,277.464417,2.02E-06,2.14E-05,1.82E-05,1383.1156,3.96E-05
1/2/1980,1.68E-05,1006.11444,269.608826,9.15E-07,7.87E-07,1.28E-06,1383.04358,2.07E-06
2/2/1980,1.01E-05,1006.09583,276.124542,1.73E-06,9.24E-05,3.39E-05,1386.01526,0.000126358
3/2/1980,1.14E-05,1007.62036,274.227448,6.66E-07,4.49E-08,1.40E-08,1388.25769,5.89E-08
