date,Evapotranspiration,Groundwater storage,Near surface air temperature,Plant canopy,Rain precipitation rate,Snow precipitation rate,Terrestrial water storage
1/1/1980,1.20E-05,933.959595,276.967102,4.88E-07,2.18E-06,4.40E-07,1285.51807
2/1/1980,8.29E-06,933.50708,279.543549,2.69E-07,2.04E-06,0,1284.83081
3/1/1980,8.49E-06,933.087158,276.49585,8.45E-07,6.00E-06,7.27E-07,1284.34912
4/1/1980,9.06E-06,932.934326,280.669098,2.14E-06,5.90E-05,2.79E-07,1285.65417
5/1/1980,1.05E-05,933.550171,275.782898,1.76E-06,1.83E-05,7.07E-06,1287.60571
6/1/1980,9.84E-06,934.022156,274.435455,1.46E-06,7.03E-06,3.87E-07,1288.23804
7/1/1980,1.42E-05,934.15387,277.823975,9.69E-07,6.80E-06,4.59E-06,1287.8562
8/1/1980,9.52E-06,934.176758,281.630463,2.46E-06,4.85E-05,1.20E-09,1288.23474
9/1/1980,8.25E-06,935.629211,281.808472,3.55E-06,0.000174463,3.89E-09,1296.5675
10/1/1980,7.39E-06,939.436218,276.974854,1.12E-06,1.13E-06,2.15E-07,1302.22266
11/1/1980,1.31E-05,941.809509,279.70105,1.54E-06,2.37E-05,5.01E-07,1301.90247
12/1/1980,2.22E-05,943.356689,278.593109,2.81E-06,9.27E-05,7.50E-06,1304.97595
13/1/1980,2.39E-05,945.225464,275.502502,2.21E-06,2.41E-05,9.19E-06,1307.68115
14/1/1980,3.69E-06,948.169739,282.436066,1.10E-06,0.000260601,2.43E-07,1317.3761
15/1/1980,1.10E-05,954.349121,280.780334,2.03E-06,2.21E-05,7.98E-07,1326.84497
16/1/1980,9.68E-06,958.257874,279.263062,5.25E-07,1.26E-06,3.27E-09,1326.77576
17/1/1980,9.93E-06,960.041748,282.918762,1.74E-06,2.22E-05,0,1326.5824
18/1/1980,1.36E-05,961.733032,281.16275,2.14E-06,0.000199469,0,1332.64844
19/1/1980,1.53E-05,964.894043,276.745819,2.13E-07,2.05E-08,1.13E-08,1337.474
20/1/1980,1.32E-05,966.591675,278.85556,1.58E-06,5.28E-05,8.91E-08,1338.30737
21/1/1980,1.44E-05,967.602356,277.032959,1.95E-07,1.23E-07,0,1338.52942
22/1/1980,1.47E-05,968.055908,277.547913,2.68E-06,8.48E-05,9.76E-06,1340.2395
23/1/1980,1.57E-05,969.048096,275.684998,1.38E-06,8.85E-06,1.02E-05,1342.13416
24/1/1980,2.14E-05,969.239319,274.067657,6.99E-07,6.35E-09,4.38E-08,1341.29492
25/1/1980,1.76E-05,968.832092,278.39502,5.52E-07,3.95E-07,0,1339.3407
26/1/1980,1.15E-05,968.489807,279.621124,1.25E-06,1.80E-05,2.36E-08,1338.66748
27/1/1980,1.50E-05,968.513123,277.586456,3.46E-06,5.56E-05,1.42E-06,1340.18262
28/1/1980,1.23E-05,969.135193,277.137238,9.76E-07,1.57E-06,2.04E-07,1341.1189
29/1/1980,1.38E-05,969.529297,277.424713,2.24E-06,4.85E-05,3.60E-07,1341.8551
30/1/1980,1.40E-05,970.00592,271.999146,3.02E-07,3.34E-07,1.77E-06,1342.297
31/1/1980,1.51E-05,970.377747,276.452515,1.06E-06,2.66E-05,3.18E-05,1343.5094
1/2/1980,2.68E-05,970.483215,268.61499,3.01E-07,9.33E-07,1.40E-06,1343.93164
2/2/1980,1.92E-05,970.087463,268.237396,9.83E-08,9.75E-08,4.35E-07,1341.95789
3/2/1980,1.55E-05,969.621338,267.212006,1.14E-07,0,1.70E-09,1340.46167
4/2/1980,1.74E-05,969.164307,270.613525,1.13E-06,2.13E-05,3.00E-05,1340.75928
5/2/1980,1.56E-05,969.059204,272.071045,1.21E-06,1.15E-07,2.75E-07,1340.82214
6/2/1980,1.26E-05,969.083984,276.266754,1.98E-06,1.92E-05,4.24E-06,1340.21118
7/2/1980,1.24E-05,969.296082,272.655365,1.41E-06,3.54E-06,7.19E-07,1339.97852
8/2/1980,1.46E-05,969.203308,272.688232,5.30E-07,2.89E-08,3.21E-08,1338.91821
9/2/1980,1.39E-05,968.881226,273.528564,1.14E-06,2.58E-05,1.86E-05,1339.25464
10/2/1980,1.64E-05,969.312378,273.446899,1.88E-06,2.45E-05,3.26E-05,1341.69775
11/2/1980,1.21E-05,969.8078,272.067352,1.16E-06,2.97E-07,0,1342.63184
12/2/1980,1.75E-05,970.040222,274.263428,1.13E-06,2.00E-07,4.99E-10,1340.96301
13/2/1980,1.45E-05,969.875549,272.797882,6.23E-07,0,0,1339.49536
14/2/1980,1.86E-05,969.635376,276.830048,1.91E-06,3.38E-05,1.13E-05,1339.73767
15/2/1980,2.17E-05,969.769775,280.117889,8.29E-07,2.64E-07,1.41E-08,1339.59631
16/2/1980,2.05E-05,969.390381,279.142334,2.28E-06,2.73E-05,4.27E-06,1338.45227
17/2/1980,1.90E-05,969.053955,270.48587,6.01E-07,1.73E-06,4.90E-06,1338.19641
18/2/1980,1.81E-05,968.647156,270.320831,5.97E-07,7.05E-09,1.11E-08,1336.9353
19/2/1980,1.97E-05,968.111389,278.848694,8.50E-07,3.01E-06,0,1335.36426
20/2/1980,1.48E-05,967.472717,279.205322,4.95E-07,2.51E-06,6.06E-08,1333.9314
21/2/1980,1.82E-05,966.878906,281.665955,6.12E-07,2.17E-06,1.49E-07,1332.71948
22/2/1980,1.87E-05,966.292908,285.820526,2.73E-06,5.12E-05,0,1332.70825
23/2/1980,2.46E-05,966.419434,284.98645,2.52E-06,7.65E-05,1.04E-06,1335.26978
24/2/1980,2.10E-05,967.181946,284.743103,1.24E-06,4.23E-06,0,1336.03357
25/2/1980,1.77E-05,967.580383,280.272156,2.73E-06,7.73E-05,4.89E-08,1337.29504
26/2/1980,2.24E-05,968.424316,277.563934,2.36E-06,1.39E-05,1.20E-06,1338.80798
27/2/1980,2.93E-05,968.607971,275.313202,4.10E-07,4.07E-07,2.15E-07,1337.29028
28/2/1980,2.33E-05,968.007263,278.222656,1.83E-06,6.93E-06,1.13E-06,1335.16187
29/2/1980,1.96E-05,967.37616,277.136658,2.94E-07,1.31E-07,2.90E-09,1333.52783
1/3/1980,1.89E-05,966.705383,273.279205,1.71E-06,1.96E-05,1.57E-05,1333.25
2/3/1980,2.41E-05,966.553711,269.364624,1.09E-06,1.17E-05,6.50E-05,1335.7738
3/3/1980,4.38E-05,966.732971,270.789032,1.96E-06,7.30E-05,5.53E-05,1340.48926
4/3/1980,2.67E-05,968.212036,276.928375,1.95E-06,1.77E-05,1.51E-06,1341.91931
5/3/1980,1.82E-05,969.738831,282.812256,3.30E-06,5.78E-05,3.30E-07,1341.62769
6/3/1980,2.16E-05,971.076782,281.08374,8.99E-07,4.02E-06,2.34E-07,1342.45703
7/3/1980,2.41E-05,971.248901,282.018066,1.26E-06,4.15E-06,8.12E-08,1340.76672
8/3/1980,2.32E-05,970.942383,286.21817,3.14E-06,6.26E-05,0,1340.72217
9/3/1980,1.96E-05,971.051514,284.38916,3.44E-07,1.24E-07,0,1340.70154
10/3/1980,2.20E-05,970.730042,282.184235,1.83E-06,1.40E-05,3.62E-08,1339.39856
11/3/1980,2.82E-05,970.011475,280.925629,6.92E-07,9.21E-07,2.29E-07,1337.71313
12/3/1980,2.69E-05,969.091248,276.480347,2.11E-06,3.63E-05,1.11E-05,1336.9834
13/3/1980,1.85E-05,969.862976,279.833984,3.90E-06,0.000209022,6.40E-06,1343.85681
14/3/1980,2.34E-05,973.183716,279.361145,1.36E-06,7.71E-06,7.82E-07,1349.35083
15/3/1980,3.04E-05,974.453186,278.690704,2.16E-07,4.39E-07,3.44E-10,1347.34045
16/3/1980,2.80E-05,974.6073,282.665558,1.88E-06,5.72E-05,0,1346.78003
17/3/1980,2.48E-05,974.89856,284.050293,2.59E-06,6.73E-05,0,1347.97192
18/3/1980,2.57E-05,975.684937,282.982574,3.70E-06,9.89E-05,2.67E-08,1351.12952
19/3/1980,2.98E-05,977.023132,281.476318,1.37E-06,3.65E-05,5.27E-07,1353.19067
20/3/1980,2.17E-05,977.7229,284.353149,4.56E-06,0.00010503,1.06E-06,1354.59241
21/3/1980,2.66E-05,979.528992,286.217316,5.18E-06,0.000165354,0,1361.52295
22/3/1980,4.49E-05,981.567261,278.902313,1.09E-06,9.71E-06,2.51E-06,1363.79089
23/3/1980,2.79E-05,981.853271,278.9104,1.14E-07,1.15E-06,1.62E-11,1360.84192
24/3/1980,2.31E-05,981.789368,282.508606,3.80E-06,8.27E-05,1.86E-06,1360.8595
25/3/1980,3.14E-05,982.616638,284.107697,4.46E-06,0.000119768,8.89E-09,1365.22485
26/3/1980,2.18E-05,984.248047,281.941956,1.90E-06,6.89E-06,2.97E-09,1367.20947
27/3/1980,2.95E-05,984.953003,284.075317,3.16E-06,2.54E-05,6.86E-09,1366.3158
28/3/1980,2.05E-05,985.984985,282.123627,4.51E-06,0.000312943,1.80E-06,1373.27673
29/3/1980,2.68E-05,989.811462,287.204315,3.66E-06,0.000115913,6.84E-10,1383.21313
30/3/1980,1.55E-05,993.567627,286.877319,4.64E-06,0.000210643,0,1391.65906
31/3/1980,2.77E-05,997.691772,284.503448,3.46E-06,3.32E-05,0,1396.9126
1/4/1980,2.77E-05,999.516907,283.911957,3.66E-07,5.27E-07,0,1395.62744
2/4/1980,3.43E-05,999.760071,286.901306,5.79E-07,8.15E-06,0,1393.35071
3/4/1980,3.94E-05,999.137634,288.890167,2.95E-06,2.27E-05,0,1390.828
4/4/1980,4.49E-05,998.315369,288.050476,3.89E-06,6.67E-05,0,1389.74609
5/4/1980,3.92E-05,997.692871,283.531647,1.94E-07,2.04E-08,0,1387.8158
6/4/1980,4.98E-05,996.822327,285.614502,1.32E-06,1.31E-05,4.81E-09,1384.76208
7/4/1980,4.38E-05,995.367493,286.661316,1.59E-06,8.29E-06,0,1380.88562
8/4/1980,4.02E-05,993.981262,287.181946,2.11E-06,5.69E-06,0,1377.84546
9/4/1980,3.77E-05,992.695923,289.705048,4.27E-06,5.58E-05,0,1376.27148
10/4/1980,4.36E-05,991.975342,286.220154,1.97E-06,4.32E-06,1.93E-10,1374.92029
11/4/1980,4.37E-05,990.885071,287.543457,7.70E-07,4.03E-06,0,1371.5249
12/4/1980,4.99E-05,989.307434,287.281372,1.94E-07,9.91E-07,6.14E-08,1367.48083
13/4/1980,2.87E-05,988.111938,290.10849,4.28E-06,0.000152758,0,1368.63843
14/4/1980,3.28E-05,989.086182,290.971313,5.00E-06,0.000129969,0,1374.09692
15/4/1980,3.87E-05,990.004456,283.526978,2.31E-06,1.20E-05,3.07E-07,1374.95435
16/4/1980,5.10E-05,989.49707,285.268738,1.29E-06,7.31E-06,0,1371.84241
17/4/1980,4.26E-05,988.150085,284.104004,5.13E-07,7.53E-06,0,1368.08691
18/4/1980,5.01E-05,986.860901,287.798767,9.54E-07,1.25E-05,0,1364.89233
19/4/1980,5.50E-05,985.270264,288.920013,1.78E-06,9.77E-06,0,1360.97693
20/4/1980,5.26E-05,983.258789,289.400421,5.52E-07,1.65E-06,0,1356.66968
21/4/1980,4.74E-05,981.104553,289.073395,3.72E-06,1.73E-05,0,1352.73193
22/4/1980,5.83E-05,979.084534,289.639221,3.17E-07,2.27E-07,0,1349.22119
23/4/1980,7.16E-05,976.483948,292.582153,9.73E-07,1.23E-05,0,1343.90747
24/4/1980,5.21E-05,973.683411,291.435608,1.60E-06,1.98E-05,0,1339.1333
25/4/1980,3.91E-05,971.666992,292.054749,3.63E-06,3.18E-05,0,1336.70654
26/4/1980,3.86E-05,970.131042,289.360565,3.16E-06,9.06E-06,0,1334.85999
27/4/1980,3.33E-05,969.190613,292.176514,4.83E-06,0.000146988,0,1337.22632
28/4/1980,3.16E-05,970.576111,289.797363,6.87E-06,9.91E-05,0,1342.6554
29/4/1980,3.64E-05,972.445129,288.147461,6.67E-06,0.000120902,0,1346.75623
30/4/1980,3.57E-05,974.010742,286.849945,3.94E-06,2.91E-05,2.80E-10,1348.59448
1/5/1980,3.88E-05,974.536438,286.675049,3.95E-06,4.41E-05,0,1348.11206
2/5/1980,3.73E-05,974.648987,287.020844,2.42E-06,1.73E-05,0,1346.99304
3/5/1980,3.40E-05,974.690979,289.205261,5.35E-06,9.00E-05,0,1347.70276
4/5/1980,4.75E-05,975.320007,290.240143,2.41E-06,1.05E-05,0,1348.00305
5/5/1980,5.50E-05,974.757751,292.078949,3.20E-06,3.86E-05,0,1345.17102
6/5/1980,4.67E-05,973.683655,291.953674,8.52E-07,2.33E-06,0,1341.92566
7/5/1980,5.01E-05,972.09613,291.732147,7.10E-07,1.86E-06,0,1337.91577
8/5/1980,3.67E-05,970.168335,288.435211,1.98E-06,9.65E-06,0,1334.1106
9/5/1980,4.14E-05,968.484009,288.134491,9.31E-07,1.69E-06,0,1331.55493
10/5/1980,5.71E-05,966.491638,289.063568,9.86E-07,6.96E-06,0,1327.70679
11/5/1980,6.08E-05,964.049866,292.432831,4.05E-08,2.99E-09,0,1322.87451
12/5/1980,5.47E-05,961.230042,294.21698,6.65E-07,1.59E-06,0,1317.85083
13/5/1980,5.41E-05,958.441589,296.977478,1.31E-06,1.12E-05,0,1313.47217
14/5/1980,5.15E-05,956.139282,295.473999,5.73E-06,0.000110092,0,1312.77917
