date,Evapotranspiration,Groundwater storage,Near surface air temperature,Plant canopy,Rain precipitation rate,Snow precipitation rate,Terrestrial water storage,Total precipitation rate
1/1/1980,1.03E-05,816.026123,277.946045,1.95E-06,1.22E-05,2.22E-08,1123.44275,1.22E-05
2/1/1980,9.63E-06,815.833435,280.137421,3.89E-07,1.23E-06,0,1123.36096,1.23E-06
3/1/1980,1.28E-05,815.58075,281.760529,1.89E-06,1.50E-05,9.07E-08,1122.98096,1.51E-05
4/1/1980,1.40E-05,815.453003,283.531769,3.41E-06,3.97E-05,0,1123.54504,3.97E-05
5/1/1980,1.01E-05,815.810547,277.901031,2.90E-06,1.47E-05,5.86E-07,1124.88037,1.53E-05
6/1/1980,1.00E-05,816.084778,278.404907,6.17E-07,3.87E-06,0,1124.79858,3.87E-06
7/1/1980,1.73E-05,816.039917,279.450287,1.87E-06,5.14E-06,2.73E-06,1124.14514,7.87E-06
8/1/1980,1.12E-05,815.892822,285.269165,3.21E-06,3.14E-05,0,1124.10901,3.14E-05
9/1/1980,1.12E-05,816.334717,284.759155,3.22E-06,7.50E-05,0,1127.44055,7.50E-05
10/1/1980,1.04E-05,817.591919,281.383667,1.16E-06,1.76E-06,1.08E-09,1129.41199,1.76E-06
11/1/1980,1.54E-05,818.401978,281.623322,2.87E-06,2.62E-05,6.15E-07,1129.22522,2.68E-05
12/1/1980,2.04E-05,819.017334,280.191498,3.59E-06,4.45E-05,4.99E-07,1130.64001,4.50E-05
13/1/1980,2.35E-05,820.022949,280.141083,6.39E-06,0.00010938,5.07E-07,1134.5863,1.10E-04
14/1/1980,8.14E-06,822.05011,283.660217,4.38E-06,3.89E-05,0,1139.1333,3.89E-05
15/1/1980,1.14E-05,824.021301,277.677063,6.31E-07,7.08E-07,1.15E-06,1139.84204,1.86E-06
16/1/1980,1.24E-05,825.217407,282.088989,3.81E-06,5.02E-05,6.56E-07,1140.6073,5.09E-05
17/1/1980,1.53E-05,826.571289,286.015411,4.97E-06,4.89E-05,0,1143.66321,4.89E-05
18/1/1980,2.13E-05,829.292603,285.664093,6.44E-06,0.000270224,0,1153.97058,2.70E-04
19/1/1980,1.57E-05,834.76532,281.637787,3.21E-07,0,0,1162.24316,0.00E+00
20/1/1980,1.74E-05,838.21521,281.824738,3.53E-09,0,0,1160.85876,0.00E+00
21/1/1980,1.33E-05,839.641418,277.486938,1.02E-06,3.46E-06,4.56E-08,1159.44653,3.51E-06
22/1/1980,1.30E-05,840.52832,279.411957,3.83E-06,8.03E-05,1.60E-07,1161.30957,8.05E-05
23/1/1980,2.07E-05,842.671387,277.467316,4.85E-06,0.000129926,4.20E-05,1169.354,1.72E-04
24/1/1980,2.43E-05,845.634399,275.918488,2.01E-06,0,0,1173.94971,0.00E+00
25/1/1980,1.74E-05,847.593689,277.845734,3.62E-06,1.36E-05,0,1172.41113,1.36E-05
26/1/1980,1.28E-05,848.907715,281.24588,4.42E-06,5.15E-05,2.57E-09,1173.50305,5.15E-05
27/1/1980,1.06E-05,850.947815,282.334991,5.55E-06,0.000178451,4.57E-07,1181.43872,1.79E-04
28/1/1980,1.13E-05,854.858154,280.939667,2.66E-06,1.85E-05,1.07E-07,1187.72498,1.86E-05
29/1/1980,1.24E-05,857.802795,281.231201,1.41E-06,2.73E-05,0,1188.68701,2.73E-05
30/1/1980,1.22E-05,859.592224,279.443787,1.18E-06,9.20E-06,3.10E-07,1188.75598,9.51E-06
31/1/1980,1.57E-05,860.845154,279.473785,2.92E-06,4.57E-05,6.06E-06,1189.71619,5.18E-05
1/2/1980,2.11E-05,861.951904,273.571045,6.77E-07,2.79E-07,1.36E-06,1190.40088,1.64E-06
2/2/1980,1.44E-05,862.334961,270.743225,2.54E-07,4.53E-07,6.12E-07,1188.86829,1.07E-06
3/2/1980,1.39E-05,862.331909,270.923523,4.54E-07,2.97E-07,2.25E-08,1187.72766,3.20E-07
4/2/1980,1.66E-05,862.445251,275.951721,2.20E-06,8.25E-05,1.84E-05,1190.05627,1.01E-04
5/2/1980,1.42E-05,863.709045,275.268311,1.12E-06,3.88E-06,3.96E-07,1192.13086,4.28E-06
6/2/1980,2.10E-05,864.506897,280.666443,3.79E-06,6.05E-05,3.27E-08,1193.2572,6.05E-05
7/2/1980,1.50E-05,865.62616,277.194305,3.57E-06,6.75E-05,2.30E-06,1196.72156,6.98E-05
8/2/1980,1.92E-05,867.260559,277.888062,2.03E-06,1.39E-05,0,1198.52429,1.39E-05
9/2/1980,1.91E-05,868.129639,275.494354,1.70E-07,3.87E-07,3.17E-07,1197.27686,7.04E-07
10/2/1980,1.74E-05,868.326355,277.549591,5.07E-07,4.14E-06,2.15E-06,1196.03186,6.29E-06
11/2/1980,1.24E-05,868.18988,275.40979,2.43E-07,5.48E-07,0,1194.9718,5.48E-07
12/2/1980,1.82E-05,867.780396,276.747101,3.26E-07,3.08E-07,1.72E-09,1193.60315,3.10E-07
13/2/1980,1.70E-05,867.187927,277.172607,3.15E-08,0,0,1192.16943,0.00E+00
14/2/1980,2.04E-05,866.520508,279.957916,6.49E-09,0,0,1190.63318,0.00E+00
15/2/1980,2.75E-05,865.656982,283.544708,2.15E-07,9.23E-07,0,1188.74146,9.23E-07
16/2/1980,2.35E-05,864.663086,281.269531,2.48E-06,5.72E-05,1.29E-07,1188.27576,5.73E-05
17/2/1980,1.37E-05,864.422852,275.085907,4.20E-07,1.47E-06,1.36E-06,1188.82629,2.83E-06
18/2/1980,1.81E-05,864.097656,274.682587,2.69E-07,1.25E-07,1.18E-08,1187.75854,1.37E-07
